name,ratings,date,comment,search,keyword
 CoffeeSquare커피광장 ,4,2일 전,대전시민을 위한 최대 규모의 연 시설물,대전예술의전당,art_culture_complex
 So Young Lee ,5,4일 전,코로나 때에 너무 오랜만에 가본 예술의전당이었고 연도 너무 좋았습니다 직분들도 너무 친절했고요 있는 연들 최대한 아이들과 많이 가보려고요 가시는 분들 모두 좋은 시간 보내세요,대전예술의전당,art_culture_complex
 김성수 ,4,1주 전,시설이 깨끗하고 음향이 좋은 곳입니다,대전예술의전당,art_culture_complex
 S.K LEE ,5,2주 전,굿 클래식 코로나인데도 연주자들 안전하게 무대에 올려주셔서 기획자님께 고맙다고 얘기하고 싶어요 눈 호강 귀 호강 힐링했습니다,대전예술의전당,art_culture_complex
 지성구 ,4,2주 전,굿,대전예술의전당,art_culture_complex
 김영미 ,5,4주 전,쾌적하고 깨끗하고 넓고 아주 좋은 장소입니다,대전예술의전당,art_culture_complex
 효서기 ,5,1달 전,깔끔해요,대전예술의전당,art_culture_complex
 꼬꼬마윤휘TV ,5,1달 전,연 봤어요 크고 좋네요,대전예술의전당,art_culture_complex
 장석용 ,5,1달 전,널찍한 간 그냥 밖에 있어도 휴식 간이 되고 실내는 늘 품격 있는 연만한다,대전예술의전당,art_culture_complex
 그링자의캠핑클레스 & 문화캠핑 ,5,1달 전,풍류시 노래 콘서트,대전예술의전당,art_culture_complex
 윤다혜 ,5,1달 전,아침을 여는 클래식 너무 좋았습니다,대전예술의전당,art_culture_complex
 슈아코기 ,5,1달 전,많은 연들을 하는 곳,대전예술의전당,art_culture_complex
 김미자 ,5,1달 전,코로나 때에 작년은 너무 유 울했어요 예술 관람을 거의 못했거든요 이에 대관 연 매어 브라만 차 보면서 너무 행복했어요 거리두기하느라 옆 좌석빈 좌석이어서 사실 더 안심하고 봤어 하여 자체 작 작품들도 많이 열려서 안심하고 즐길 수 있길 기대합니다,대전예술의전당,art_culture_complex
 Byung-Uck Chang ,5,2달 전,앙상블홀 연 시작 전 베이스 연광철,대전예술의전당,art_culture_complex
 티라미수 ,3,2달 전,무대와 객석이 너무 멀다,대전예술의전당,art_culture_complex
 김한이 ,4,2달 전,뮤지컬을 관람하기 위해 방 했는데 앞뒤 좌석 간격이 좁다는 생각이 들었음 앞사람이 조금 몸을 앞으로 당기면 화면이 가려지네요,대전예술의전당,art_culture_complex
 Hyunuk Seo ,4,2달 전,층 봤는데 보는 자리가 너무 좁았어요,대전예술의전당,art_culture_complex
 쑤니동률 ,5,2달 전,화장실은 가지 않았어요 연관람 후 주차요금은 받지 않았어요 좋은 관람 시간 되었네요,대전예술의전당,art_culture_complex
 이용운 ,5,2달 전,좋아요,대전예술의전당,art_culture_complex
 김가영 ,3,2달 전,뮤지컬 맨 오브라만차를 보고 왔는데 긴 시간을 앉아 있기엔 의자가 좀 불편해요,대전예술의전당,art_culture_complex
 권송미 ,4,2달 전,대전에서 유일하게 층 끝자락도 잘 보이는,대전예술의전당,art_culture_complex
 박성균 ,3,2달 전,대전예술의전당,대전예술의전당,art_culture_complex
 지나가던행인 ,5,2달 전,앙상블홀 작고 아담했다 직들은 친절하다,대전예술의전당,art_culture_complex
 욤욤 ,4,2달 전,좀 더 크고 소리가 더 웅장하게 들렸으면 좋겠지만 만족해요,대전예술의전당,art_culture_complex
 현준 ,4,2달 전,분위기는 좋으나 의자 간의 간격이 좁음,대전예술의전당,art_culture_complex
 세네카 뭐할까 ,5,3달 전,생각보다 다양한 행사를 함,대전예술의전당,art_culture_complex
 트리오소마 ,4,4달 전,많은 연주와 연이 취소되어 안타깝습니다,대전예술의전당,art_culture_complex
 이성준 ,5,4달 전,코로나지만 방수칙 잘 지키고 연도 계속하면 좋겠어요 좋은 연들을 유치할 수 있도록 노력해 주시면 좋겠어요,대전예술의전당,art_culture_complex
 mia Im ,4,4달 전,주차장도 넓고 아트홀과 앙상블 홀 크 기별로 나눠져 있어 요 화장실도 깔끔하고 홀도 예뻐요 다만 앙상블 홀스타인 웨이 피아노의 고음과 저음의 균형이 조금 맞지 않았던 점이 아쉽습니다,대전예술의전당,art_culture_complex
 fullmetal alchemist Oui ,5,4달 전,이국적 야경,대전예술의전당,art_culture_complex
 이미미 ,5,5달 전,깨끗하고 관리를 잘해주시네요,대전예술의전당,art_culture_complex
 맽겨동 ,3,5달 전,너무 오래됐음,대전예술의전당,art_culture_complex
 woni woni ,5,5달 전,앙상블홀에서 진행한 아띠 연주 너무 멋졌어요,대전예술의전당,art_culture_complex
 최정희 ,5,5달 전,대전의 연장,대전예술의전당,art_culture_complex
 moonkyu park ,5,5달 전,좋아요,대전예술의전당,art_culture_complex
 Yoonjung Lee ,4,6달 전,예매표 찾는 줄도 알기 쉽게 되어 있고 좌석도 괜찮습니다 다만 연 시작 전 입장 시간에도 사진을 못 찍게 하는 것이 아쉽네요,대전예술의전당,art_culture_complex
 이순철 ,5,6달 전,최고,대전예술의전당,art_culture_complex
 음악&미술공부 중 ,5,6달 전,토스카 관람,대전예술의전당,art_culture_complex
 KAIROS ,3,6달 전,좋은 연 많이 했으면 좋겠습니다,대전예술의전당,art_culture_complex
 y.h. kwon ,5,6달 전,전 연주자를 위한 최고의 무대,대전예술의전당,art_culture_complex
 이환희 ,5,6달 전,네 웅장해서 압도되었네요,대전예술의전당,art_culture_complex
 구의실 ,5,6달 전,코로나로 인해 힘든 상황에서도 차분히 대처하는 직들의 정성에 감시했습니다,대전예술의전당,art_culture_complex
 B. Jamie ,5,6달 전,현악 중주를 평일 오전에 즐길 수 있어서 너무 좋아요 아침에 기분 좋게 하루를 시작하고 하루 종일 선물 받은 기분으로 즐기다가 마무리할 수 있어요,대전예술의전당,art_culture_complex
 용지동 ,5,6달 전,개 져 아,대전예술의전당,art_culture_complex
 고동욱 ,5,6달 전,집사람이 연주를 해서 가끔씩 가는데 좋습니다 대전에 예술의전당이 있어서 너무 좋아요,대전예술의전당,art_culture_complex
 gong gong ,5,6달 전,예술의전당은 언어나 옳아요,대전예술의전당,art_culture_complex
 Seung Hun Lee ,5,6달 전,대전의 명소,대전예술의전당,art_culture_complex
 이웃음 ,5,6달 전,어 배재대 채경화 교수의 작곡 발표가 있어 다녀왔어요 대전 현대음악협회 주년 기념 연주회가 있어 거든 요코로나 바이러스로 음악회장 자주 못 다녔는데 이날 관람석에 사회적 거리 두기로 한 깐씩 건너앉아 오히려 복잡하지 않은 환경에 젊은 작곡가의 현대음악을 감상하는데 아주 행복했습니다,대전예술의전당,art_culture_complex
 손서영 ,3,8달 전,교통 불편,대전예술의전당,art_culture_complex
 복한수 ,5,9달 전,아주 좋아요,대전예술의전당,art_culture_complex
 Junmo Park ,5,11달 전,주차 편하고 주변에 식당이나 즐길 거리 많으며 깔끔합니다,대전예술의전당,art_culture_complex
 배정자 ,4,1년 전,잘해놨어요,대전예술의전당,art_culture_complex
 Sky KK ,5,1년 전,화에 술로 수준 높은 와 시민 탄생,대전예술의전당,art_culture_complex
 이아이고 ,3,1년 전,대전에서 회생 활할 수 있는 곳 뮤지컬 시간 반짜리 보는데 앞뒤 옆의 자 간격이 너무 좁아요,대전예술의전당,art_culture_complex
 이ᄉᄋ ,4,1년 전,소풍 다녀왔는데 넓고 편한데 뭔가 급히 살 만한 부대시설이 적어서 조금 불편해요,대전예술의전당,art_culture_complex
