name,ratings,date,comment,search,keyword
 유레카 ,5,5달 전,참으로 아름다운 호수 다 왜 이서야 와 봤을까 하는 생각이 든 다 개발되면 교통이 불편할 수도 있겠다 싶었지만 산길과 도로 그리고 강은 많은 사람들의 시선을 사로잡기에 충분했다 계절마다 다녀오고픈 곳이 될 듯싶다,대청호,daecheong_lake
 이정주 ,5,6달 전,청남대를 품고 있는 매우 아름다운 호수 대통령 별장이 자리 잡을 정도로 경치와 장소 등 모든 면에서 최상이라고 할 수 있는 곳이다 특히 다목적댐의 특성상 지의 농업 등 각 산업 분야의 용수급에 있어서도 중요한 할을 담당하고 있는 호수다,대청호,daecheong_lake
 송병석 ,4,10달 전,사진 찍기 명소,대청호,daecheong_lake
 배진환 ,5,1년 전,날씨가 너무 좋고 예뻤다,대청호,daecheong_lake
 오재열 ,5,1년 전,사계절 항상 아름답고 접근성도 좋아 방자가 많은 곳입니다,대청호,daecheong_lake
 Johnny Chang ,4,1년 전,새벽녘에 일출 보고 아름다운 경치,대청호,daecheong_lake
 라후콘후_LAKON ,4,1년 전,경치가 좋아요,대청호,daecheong_lake
 장재훈 ,5,2달 전,넓은 장소에 애들이 뛰어놀기 좋은 곳 가을에는 풍경도 예쁘고 산책하기 좋네요,대청댐물문화관,daecheong_lake
 K. S. Lee ,4,4달 전,뒤편 산책로로 조금만 올라가면 보이는 대청호도 참 멋짐,대청댐물문화관,daecheong_lake
 원현 ,5,4달 전,오백 리 길 하이킹과 자전거 타기 좋은 길 신선한 이 오백 리 길,대청댐물문화관,daecheong_lake
 이남희 ,5,5달 전,대 청대 물 박물관 뒤편 싱글 길 정말 좋아요,대청댐물문화관,daecheong_lake
 블랙잭 ,4,6달 전,대전과 청주의 바다,대청댐물문화관,daecheong_lake
 정원근 ,5,7달 전,시하네요,대청댐물문화관,daecheong_lake
 바이블 스터디예원감리교회 ,5,7달 전,좋아요,대청댐물문화관,daecheong_lake
 법무법인바를정 ,5,8달 전,아주 좋아요,대청댐물문화관,daecheong_lake
 제임스딘 ,5,9달 전,탁 트인 대청댐 경치 바라보면서 스트레스 해소하기 좋습니다,대청댐물문화관,daecheong_lake
 슈기 ,4,9달 전,바다보다 잔잔한 호수가 좋은 분들에게 추천해요 대청댐 맑은 기와 물이 있어 바람 쐬기 좋고 아이들과 함께 문화관 체험하기 딱 좋아요 벤치가 곳곳에 있어서 쉼이 필요할 때 가 금갑니다,대청댐물문화관,daecheong_lake
 chris kang ,5,1년 전,아이들 데니고 가세요 대청댐 정상 구경도 하시고요,대청댐물문화관,daecheong_lake
 박영목 ,3,1년 전,자전거 타고 좋음,대청댐물문화관,daecheong_lake
 Ocean BIg (Cosmo-) ,4,1년 전,드라이빙 하러 오기 좋음 사람도 별로 없어서 한가함,대청댐물문화관,daecheong_lake
 엄영태 ,4,1년 전,대청댐 자전거 도착 후 화장실 가기 좋다,대청댐물문화관,daecheong_lake
 최기선 ,5,1년 전,물에 대하여 알려주고 교육적이기도 합니다 대청댐 수몰 전 사진도 볼 수 있어요,대청댐물문화관,daecheong_lake
 sv mc ,4,1년 전,어린이들에게 볼 게 많아요,대청댐물문화관,daecheong_lake
 이광재 ,5,1년 전,대청댐 가을 나들이 굿,대청댐물문화관,daecheong_lake
 알알이콩콩 ,5,1년 전,한적한 곳에 있어서 잠깐 쉴 수 있는 곳임 방 한 날 일러스트 작가 조장은 지씨의 작품도 있어서 보는 재미도 있었음 가끔 작품 전시도 하는 듯,대청댐물문화관,daecheong_lake
 염동신 ,3,1년 전,물이 사람들에게 줄 수 있는 무한한 가능성을 알 수 있는 시간이 되었습니다,대청댐물문화관,daecheong_lake
 김기흥 ,3,1년 전,한가함,대청댐물문화관,daecheong_lake
 소소한삶 ,5,1년 전,대청댐 건립사를 알 수 있고 대청댐 전망 좋은 곳,대청댐물문화관,daecheong_lake
 youngki lee ,5,1년 전,탁 트인 호수가 좋았습니다 자전거 대강 종주 인증도 가능합니다,대청댐물문화관,daecheong_lake
 규린파파 ,5,1년 전,좋아요,대청댐물문화관,daecheong_lake
 윤태용 ,5,1년 전,좋네요,대청댐물문화관,daecheong_lake
