name,ratings,date,comment,search,keyword
 김근형 ,4,2일 전,고전과 현대미가 어우러진 휴식하기 좋은입니다,회덕동춘당,dongchundang
 박은선 ,5,2주 전,깨끗하고 산책하기 참 좋네요 날 좋은 오늘 같은 날은 더더욱,회덕동춘당,dongchundang
 김억환 ,5,6달 전,산책하기 좋은 곳이네요,회덕동춘당,dongchundang
 Gam Kang ,4,9달 전,일부 수리 중,회덕동춘당,dongchundang
 양희갑 ,4,11달 전,넓은 광장과 고택의 웅장함 큰 나무가 훌륭한 휴식 간을 재합니다,회덕동춘당,dongchundang
 Алексе́й ,5,1년 전,조선시대 유학자 송준길의 별당으로 동춘당에 동춘당 종택 송용덕 가옥과 함께 있습니다 조선시대의 별당 건축양식을 잘 나타냈다는 평가를 받고 있으며 건축물이 화려하지 않고 단아하며 균형감이 좋습니다 봄철 방하면 매화꽃과 산수유 영산홍이 피어 있어 더욱 운치가 있습니다,회덕동춘당,dongchundang
 이상건 ,4,1년 전,쉬기 좋은 자 그만한,회덕동춘당,dongchundang
 배정자 ,5,1년 전,힐링힐링요,회덕동춘당,dongchundang
 kim종명 ,5,1년 전,안내하시는 분들이 초등학생에게 불친절해요,회덕동춘당,dongchundang
 심상우 ,5,1년 전,좋았습니다 가족과 함께 둘러보며 담소하는 맛 최고입니다,회덕동춘당,dongchundang
 정종길 ,4,1년 전,좋아요,회덕동춘당,dongchundang
 박병용 ,5,1년 전,아름다운 과 고택 그리고 국화주를 파는 종택,회덕동춘당,dongchundang
 정병철 ,4,1년 전,고택 주변으로 산책이 가능한 이 있어서 잠깐 쉬었다가 기 좋아요,회덕동춘당,dongchundang
 한지헌 ,4,1년 전,대덕구에서 와 행사를 할 수 있는 간이 있습니다 멀리서 오시기보다는 가까이 계시면 산책하시고 북 카페에서 차 마시면 좋겠습니다,회덕동춘당,dongchundang
 배성호 ,5,1년 전,도심 속 힐링 간,회덕동춘당,dongchundang
 정진희 ,4,1년 전,고즈넉,회덕동춘당,dongchundang
 김기백 ,5,2년 전,굿,회덕동춘당,dongchundang
 김동환 ,4,2년 전,내부에 작은 산도 있어 좋다,회덕동춘당,dongchundang
 오란경 ,4,2년 전,좋았어요,회덕동춘당,dongchundang
 Kum Teag Kim ,4,2년 전,고즈넉한 고택 오리불고기 먹으면서 옛 풍경에 젖어본다,회덕동춘당,dongchundang
 윤영준 ,5,2년 전,이 산책하기 좋아요,회덕동춘당,dongchundang
 최순녕 ,4,2년 전,동춘당과 김호연 채 전통가옥사의 숨결이 살아 숨 쉬는 도심 속 편안한 간,회덕동춘당,dongchundang
 차내윤 ,5,2년 전,커피 한 잔의 여유,회덕동춘당,dongchundang
 서현민 ,5,2년 전,산책하기 좋은 곳,회덕동춘당,dongchundang
 김주혁 ,5,2년 전,낭만적이네요,회덕동춘당,dongchundang
 이명환 ,4,2년 전,우암 송시 열사 당과 종가 사택이 함께 있답니다 송 씨 집안의 내력을 살피기에 좋은 장소랍니다,회덕동춘당,dongchundang
 고영형 ,4,2년 전,월 야간 산책하기 좋은 것 같네요 야간 불빛은 멋있네요 혼자 보기 아까움,회덕동춘당,dongchundang
 김동규 ,5,2년 전,산책하기 좋습니다,회덕동춘당,dongchundang
