name,ratings,date,comment,search,keyword
 박성균 ,3,1년 전,맥주 측,세계엑스포기념품박물관,expo_science_park
 Алексе́й ,5,2년 전,대 엑스포 개최 도시의 기념품과 희귀한 아이템을 한곳에서 볼 수 있습니다,세계엑스포기념품박물관,expo_science_park
 Robert Helvie ,3,4년 전,남북한에 관한 흥미로운 것들 거기에서 많은 시간을 보내지 않아도 됩니다 옆집 과학은 한동안 수리를 위해 폐쇄되었습니다,세계엑스포기념품박물관,expo_science_park
 hyung-jun kjun ,1,5년 전,엑스포는 없고 너무 지루했어,세계엑스포기념품박물관,expo_science_park
 Onur Ozsoy ,5,1년 전,주말에는 대개 혼잡합니다 야외 콘서트 및 엔터테인먼트 길거리 음식 작은 기념품은 지에서 판매됩니다 조금 더 앞에는 막대가 많은 막대의 거리가 있습니다 이곳은 특히 오후 시 이후 매우 활기찬 곳입니다,엑스포음악분수,expo_science_park
 Julian Joo-Young Lim ,5,1년 전,밤에 시간 잘 맞춰가면 낭만적이고 좋음,엑스포음악분수,expo_science_park
 이상호 ,5,1년 전,연월일을 마지막으로 종료되었습니다,엑스포음악분수,expo_science_park
 jk rhee ,5,1년 전,이젠 사속으로 사라질 분수 아쉽네요,엑스포음악분수,expo_science_park
 John Yoon ,5,2년 전,연월일을 마지막으로 사한대요 월쯤 재오픈 한다네요,엑스포음악분수,expo_science_park
 박영준 ,4,2년 전,여름 분수 한쯤 가볼만 푸드트럭 다수,엑스포음악분수,expo_science_park
 이재수 ,4,2년 전,오랜만에 봤음,엑스포음악분수,expo_science_park
 오덕진 ,4,2년 전,대전 광시,엑스포음악분수,expo_science_park
 류준상 ,3,2년 전,이쪽은 축가 없으면 볼거리가 없습니다,엑스포음악분수,expo_science_park
 Oh Juyoung ,5,2년 전,한 해도 거르지 않고 찾아오는 곳이 엔 음악분수 교전에 달달한 사연도 읽어주시고 먹거리 잔뜩 있어 배도 부르고 좋은 물건 싸게 살 수 있는 찬스도 아이들에겐 더 없는 천국 같읏 곳 어른인 나도 이 시간들이 즐겁고 행복만 땅,엑스포음악분수,expo_science_park
 박쌍칼 ,4,2년 전,가족하고 갈 만하네요,엑스포음악분수,expo_science_park
 최병희 ,5,2년 전,음악분수와 푸드트럭 여러 가지 마켓 좋아요,엑스포음악분수,expo_science_park
 오주현 ,5,2년 전,많은 푸드트럭과 버스킹 분수쇼를 무료로 볼 수 있는 곳,엑스포음악분수,expo_science_park
 J.H Kim ,5,2년 전,음악분수의 낭만과 먹거리,엑스포음악분수,expo_science_park
 미나호잇 ,3,2년 전,분수 아이가 좋아해요 먹을거리도 많고 근데 너무 더워 요 열대야 어쩔 거야,엑스포음악분수,expo_science_park
 PARK JEIHYUN ,5,2년 전,밤에 가면 즐거움,엑스포음악분수,expo_science_park
 hayoon Kim ,5,2년 전,예뻐요,엑스포음악분수,expo_science_park
 sandy park ,3,2년 전,그래도 가끔 분위기를 살리는 행사가 있음,엑스포음악분수,expo_science_park
 이유 ,1,2년 전,비 와서 다 젖었어요,엑스포음악분수,expo_science_park
 Gyeong Seok seo ,5,2년 전,대전엑스포 야간 불꽃 분수쇼,엑스포음악분수,expo_science_park
 이준석 ,3,2년 전,그나마 대전에서 갈 만한 곳,엑스포음악분수,expo_science_park
 김정래 ,5,2년 전,술 마시기도 좋고 연인과 데이트하기도 가족끼리 놀러 오기도 좋습니다,엑스포음악분수,expo_science_park
 구름이 ,5,2년 전,여름 음악분수 엄청 멋져요,엑스포음악분수,expo_science_park
 곽승현 ,4,2년 전,대전 두 맥주 뮤직 페스티벌,엑스포음악분수,expo_science_park
 정건호 ,2,2년 전,불 쇼랑 같이 음악분수할 때 볼만함,엑스포음악분수,expo_science_park
 Hyeon Jo ,5,2년 전,축가 열리는 날에는 붐비는 측의 장,엑스포음악분수,expo_science_park
 김현호 ,4,3년 전,물과 불의 조화가 약간 낯설게 느껴지지만 볼만합니다,엑스포음악분수,expo_science_park
 Doo Kyoung Yoon ,3,3년 전,음악분수 음악 선곡하시는 분이나 이대가 좀 있으신 듯하다 최신곡은 거의 틀어주지 않는다,엑스포음악분수,expo_science_park
 류바른 ,5,3년 전,대전명소 중 하나,엑스포음악분수,expo_science_park
 hoony kim ,5,3년 전,가까운 산책,엑스포음악분수,expo_science_park
 Lee Jboss ,3,3년 전,장소가 좀 행사 없음 볼 게 없음,엑스포음악분수,expo_science_park
 S.I Lee ,5,3년 전,세계 푸드 뮤직 페스티벌,엑스포음악분수,expo_science_park
 이상우 ,3,3년 전,스마트시티 생기고 좋아짐,엑스포음악분수,expo_science_park
 Won-Jae Shin ,5,3년 전,한 더위를 날리기 좋은 한여름 밤,엑스포음악분수,expo_science_park
 송현석 ,3,3년 전,가족끼리가 보기 좋은 곳,엑스포음악분수,expo_science_park
 Jangho david Jeong ,5,3년 전,분수 쇼장,엑스포음악분수,expo_science_park
 YOUNG-IL KIM ,5,3년 전,대전의 랜드마크인 엑스포다리와 한빛탑 사이에 위치,엑스포음악분수,expo_science_park
 이민형 ,5,3년 전,무료라고 하기엔 수준 높은 분수쇼,엑스포음악분수,expo_science_park
 장자울 ,4,3년 전,한여름 밤을 심하게 해주는 음악과 분수쇼 그리고 맛있는 먹거리와 놀 거리까지 재미있었어요,엑스포음악분수,expo_science_park
 김태연 ,5,3년 전,가족 연인들이 즐기기 좋아요,엑스포음악분수,expo_science_park
 이이영찬 ,4,3년 전,음아 분수 아주 멋져요,엑스포음악분수,expo_science_park
 장승근 ,4,3년 전,시하고 버블 마술쇼도 좋고 어린아이들 데리고 가면 최고,엑스포음악분수,expo_science_park
 강매력c ,5,3년 전,밤에 나들이하기 좋은 곳,엑스포음악분수,expo_science_park
 V 늘 감사 V ,5,3년 전,무더운 여름밤 시하고 아름다운 음악분수 너무 좋아요,엑스포음악분수,expo_science_park
 Kang Seok Go ,5,3년 전,볼거리 먹거리가 많아 좋네요 아이와 가족과 여름밤 나들이로 참 좋아요,엑스포음악분수,expo_science_park
 코야 ,5,3년 전,이뻐,엑스포음악분수,expo_science_park
 홍종상 ,4,3년 전,저녁에 정기적으로 열리는 음악분수쇼 아이들이 참 좋아하네요,엑스포음악분수,expo_science_park
 Tae-kwang Song ,5,3년 전,한여름 밤의 음악분수는 가족과 함께하기 좋은 간,엑스포음악분수,expo_science_park
 IkJung Yun ,4,3년 전,달밤 소풍이라는 와 행사가 주기적으로 개최됩니다 푸드트럭도 있고요 다만 대중교통으로 접근하기 좋지 않고 주차가 어려운 편입니다,엑스포음악분수,expo_science_park
 김성옥 ,5,3년 전,음악에 맞추어 리듬감 있게 춤을 추는 듯한 다양한 분수쇼 불꽃 화염쇼도 멋지고요,엑스포음악분수,expo_science_park
