name,ratings,date,comment,search,keyword
 백수삼촌 ,4,1일 전,관광으로는 비추 근처에 거주 중이라면 시간 정도 산책하기에는 좋음 시간 무료 주차는 덤 안에 매점이 상당히 비싸기 때에 주변 대형마트에서 간식 구매하여 가면 좋음,한밭수목원,hanbat_arboretum
 소소한튜브 ,4,1일 전,아이랑 자전거 타고 놀기도 참 좋은 거 같아요,한밭수목원,hanbat_arboretum
 Do Yoon Oh ,5,1일 전,사람 많음 주의,한밭수목원,hanbat_arboretum
 Sung bin Woo ,5,2일 전,주말에 사람이 많은데 좋아요,한밭수목원,hanbat_arboretum
 한상익 ,5,2일 전,장미가 색별로 잘 심어져 있고 호수에는 잉어들이 사람들이 밥을 잘 줘서 그런가 잘 따라오고 통통하네요 힐링 되는 느낌입니다 자전거 전용도로도 잘 되어 있고 대여소도 잘 돼 있고 화장실도 깨끗한 게 여러 곳에 있어서 대참사도 막겠어요,한밭수목원,hanbat_arboretum
 주은영 ,5,6일 전,월한밭 수목 최고네요,한밭수목원,hanbat_arboretum
 SeongJae Hong ,5,1주 전,도심 속 숲 식물 학습실 등 다양한 구성과 넓은 잔디밭 정자 연못 등에서 자연을 즐길 수 있음,한밭수목원,hanbat_arboretum
 Changbeom Kim ,3,1주 전,가볍게 산책하기 좋네요,한밭수목원,hanbat_arboretum
 김가불 ,5,1주 전,소풍 가기 좋음,한밭수목원,hanbat_arboretum
 슬기로운꽃생활 ,4,1주 전,좋아요,한밭수목원,hanbat_arboretum
 쩐메이커 ,5,1주 전,세금은 이렇게 써야 함,한밭수목원,hanbat_arboretum
 김성진 ,4,1주 전,주차시설도 좋고 깨끗하며 넓고 한적해서 자연관찰을 하면서 아이들과 함께 시간 보내기 좋은 장소입니다,한밭수목원,hanbat_arboretum
 장종수 ,5,1주 전,좋습니다,한밭수목원,hanbat_arboretum
 김연순 ,4,2주 전,테마별로 잘 가꾸어진 곳,한밭수목원,hanbat_arboretum
 영감영감 ,4,2주 전,가족과 함께 산책하며 즐겁게 보내기 좋은 곳이에요,한밭수목원,hanbat_arboretum
 로 헬우 ,5,2주 전,가족끼리가 기 좋아 요고 삘 이들 누워서 민망한 행동 빼고는,한밭수목원,hanbat_arboretum
 여우북극 ,5,2주 전,어떠한 말도 필요 없이 너무 이쁩니다,한밭수목원,hanbat_arboretum
 Hoon kim ,4,2주 전,도심 속으로 아주 좋습니다 주변 광장과 연장들도 너무 잘 되어 있습니다,한밭수목원,hanbat_arboretum
 김충식 ,5,2주 전,좋아요 경치도 날씨도 황사만 없다면 더할 나위 없는 곳,한밭수목원,hanbat_arboretum
 한원섭 ,5,2주 전,사계절 아름다운 시민의 휴식 간입니다,한밭수목원,hanbat_arboretum
 HS B ,5,2주 전,대전 사람들은 좋겠어요 이렇게 크고 이쁘게 관리 잘 된 수목이 도심에 딱 부럽습니다,한밭수목원,hanbat_arboretum
 Chef Jason ,5,2주 전,조성이 너무 좋아요,한밭수목원,hanbat_arboretum
 주효진 ,5,2주 전,넓고 이쁘고 운치 있다,한밭수목원,hanbat_arboretum
 효서기 ,5,2주 전,아주 좋음 크고 넓고 깨끗하고,한밭수목원,hanbat_arboretum
 가나다라마바사아자차카타파하 ,4,2주 전,평일에 오니 사람은 없는데 비둘기가 주위를 맴돌고 저녁쯤 되니 하루살이들이 날뜁니다,한밭수목원,hanbat_arboretum
 Sung-hyeok Choi ,5,2주 전,산책하기 아주 좋은 곳 쓰레기통이 없으니 쓰레기가 될 만한 건 가져오지 말거나 챙겨갈 수 있는 준비가 필수,한밭수목원,hanbat_arboretum
 김미경 ,5,2주 전,넓다,한밭수목원,hanbat_arboretum
 youngji영지 ,4,2주 전,애들 놀기 좋고 대전에서 가장 잘 된 고 같아요,한밭수목원,hanbat_arboretum
 정진수 ,4,2주 전,아이들과 주말에 나들이 좋아요,한밭수목원,hanbat_arboretum
 mi sum park ,1,2주 전,우우,한밭수목원,hanbat_arboretum
 소누 ,5,3주 전,사랑하는 사람들과 피크닉 가기 좋습니다,한밭수목원,hanbat_arboretum
 민경란 ,4,3주 전,시화 창한 봄날이라 사람들이 많이 놀러 옴이 대 전 사람들 다 여기로 왔나 봐 요인용 자전거 타러 왔다가 마스크 못 쓰는 개월 아기 땜에 주재 그냥 돌아왔어요,한밭수목원,hanbat_arboretum
 김홍철 ,4,3주 전,좋아요,한밭수목원,hanbat_arboretum
 Steve Deuth ,5,3주 전,훌륭한 서비스 및 합리적인 가격,한밭수목원,hanbat_arboretum
 김회중 ,5,3주 전,점심 먹고 산책하는 곳 봄여름이 훨씬 분위기가 좋아요,한밭수목원,hanbat_arboretum
 이민호 ,5,3주 전,산책 가기 좋은 날 산책하기 좋은 곳,한밭수목원,hanbat_arboretum
 헝그리스포츠 ,5,3주 전,사람은 많지만 그래도 가면 잘 꾸며져 있고 산책하거나 아기 데리고 놀러 나오기 너무 좋아요,한밭수목원,hanbat_arboretum
 법무법인바를정 ,5,3주 전,넓고 쾌적해서 아이들과 산책하기 좋습니다,한밭수목원,hanbat_arboretum
 남자박주성 ,4,3주 전,나무 그늘이 시해요,한밭수목원,hanbat_arboretum
 재유jaeyou ,5,1달 전,피크닉 가기 좋아요,한밭수목원,hanbat_arboretum
 권희정 ,5,1달 전,코로나로부터 우리가 모두를 지켜요 함께하는 방수칙거리 두 기 안전 수칙 지키기,한밭수목원,hanbat_arboretum
 최영범 ,5,1달 전,가족이나 연인들이 나들이 가기 좋은 곳,한밭수목원,hanbat_arboretum
 김계훈 ,5,1달 전,남광장 쪽에 놀이터를 엄청 잘해놔서 우리 딸이랑 너무 신나게 잘 놀다 갑니다,한밭수목원,hanbat_arboretum
 GodKao19만원현대차119만원 ,4,1달 전,아기자기하고 너무 좋음,한밭수목원,hanbat_arboretum
 정진원 ,4,1달 전,옆에 사를 해서 그런지 어수선했지만 조용한 분위가 가 맘에 들었습니다,한밭수목원,hanbat_arboretum
