name,ratings,date,comment,search,keyword
 미샤 ,4,2주 전,여기는 갈 때마다 새로운 느낌이 야 즐거운 시간이 되었습니다,장태산자연휴양림메타세콰이어산림욕장,jangtae_mountain
 Gyang gree young ,5,3주 전,하늘 보고 누워 힐링하기 너무 좋은 곳이에요,장태산자연휴양림메타세콰이어산림욕장,jangtae_mountain
 박진수 ,5,3달 전,잘 정리된 메타세쿼이아 숲에서 산림욕하기 좋은 곳으로 둘레길 걷기와 전망대까지 가벼운 등산 활동까지 할 수 있습니다 숲속의 집을 이용하거나 스카이워크 시설과 출렁다리를 통해 다양한 체험을 즐길 수 있습니다,장태산자연휴양림메타세콰이어산림욕장,jangtae_mountain
 Sh Choi ,5,7달 전,산책하기 너무 좋은 명소,장태산자연휴양림메타세콰이어산림욕장,jangtae_mountain
 박은선 ,5,1년 전,주말 마자 애정 하는 장태산 나들이 단풍도 예뻐요,장태산자연휴양림메타세콰이어산림욕장,jangtae_mountain
 아빠 ,5,1년 전,무료인데다가 쉴 곳이 많고 시설이 잘 되어 있다,장태산자연휴양림메타세콰이어산림욕장,jangtae_mountain
 LEE가이버 ,5,1년 전,관람료 무료여서 좋고요 전망대까지 분 정도 걸리는 완만한 산책길은 대화하면서 올라가기 좋습니다 책 한 권 갖고 가서 그늘에 앉아 읽고 오기 정말 좋은 곳입니다로 잼의 도시 우리 대전에는 산 산 산장 태산이 있습니다,장태산자연휴양림메타세콰이어산림욕장,jangtae_mountain
 이해일 ,5,1년 전,대전의 좋은 산림욕장,장태산자연휴양림메타세콰이어산림욕장,jangtae_mountain
 이승주 ,5,1년 전,힐링 되고 아주 좋네요,장태산자연휴양림메타세콰이어산림욕장,jangtae_mountain
 소병철 ,4,1년 전,힐링 코스,장태산자연휴양림메타세콰이어산림욕장,jangtae_mountain
 정기성 ,5,1년 전,주위기가 너무 새로워요,장태산자연휴양림메타세콰이어산림욕장,jangtae_mountain
 Hs jeong ,5,1년 전,메타세콰이 아이숲이 울창하고 좋네요 산책하기에도 좋고 담에는 맛있는 음식 가져와 돗자리에서 먹고 누워서 하늘도 보고 싶네요 숲이 주는 향기가 좋아요,장태산자연휴양림메타세콰이어산림욕장,jangtae_mountain
 보라빛냄새 ,5,1년 전,좋아요,장태산자연휴양림메타세콰이어산림욕장,jangtae_mountain
 김기범 ,5,1년 전,좋아요,장태산자연휴양림메타세콰이어산림욕장,jangtae_mountain
 Master K ,5,9시간 전,장태산은 메타세쿼이아 나무가 높이높이 솟아 있어서 장관입니다 전망대나 흔들 다리도 잘 만들어져 있어서 구경도 잘하고 산림욕하기 좋았습니다,장태산자연휴양림,jangtae_mountain
 대전용달 ,5,2일 전,기 좋아요,장태산자연휴양림,jangtae_mountain
 Youngki Hong ,5,2일 전,좋아요,장태산자연휴양림,jangtae_mountain
 정성식 ,5,4일 전,메타 크로스 나무가 너무 멋있고 기 좋고 푸르름에 건강해지는 느낌 진짜 좋았어요,장태산자연휴양림,jangtae_mountain
 정재곤 ,4,5일 전,다시 한가 보고 싶은 곳입니다,장태산자연휴양림,jangtae_mountain
 박은희 ,5,1주 전,정말 좋아요,장태산자연휴양림,jangtae_mountain
 장래소 ,3,1주 전,저 주일에 오랜만에 텐트를 펼치고 잠시나마 아이들과 휴식을 하고 왔습니다,장태산자연휴양림,jangtae_mountain
 이종후 ,5,1주 전,가볍게 산책하기 좋은 곳입니다,장태산자연휴양림,jangtae_mountain
 Kim Jinwoo ,5,1주 전,쥐라기부터 단일 품종으로 생존하고 있는 메타세쿼이아 숲이 주연하는 초록의 향연을 맛보고 싶다면 꼭 일부러 시간 내 들러보셔요,장태산자연휴양림,jangtae_mountain
 황영주 ,5,2주 전,시힐링 최고,장태산자연휴양림,jangtae_mountain
 소크더라테스 ,5,2주 전,기가 너무 좋아요 가족과 함께하는 시간을 즐겨보세요,장태산자연휴양림,jangtae_mountain
 이정민 ,5,2주 전,메타세쿼이아의 이국적인 풍경과 피톤치드의 건강 힐링,장태산자연휴양림,jangtae_mountain
 심재경 ,5,2주 전,좋아요,장태산자연휴양림,jangtae_mountain
 Danny Seo ,4,2주 전,걷기 좋은 곳,장태산자연휴양림,jangtae_mountain
 이병효 ,5,3주 전,멋져요,장태산자연휴양림,jangtae_mountain
 dongsek Bae ,4,3주 전,자전거 라이딩,장태산자연휴양림,jangtae_mountain
 또바기또사장의 일상 ,5,3주 전,힐링 그 자체,장태산자연휴양림,jangtae_mountain
 ᄀᄃᄀ지ᄌᄀᄌᄀᄌ ,5,3주 전,장태산 힐링하기 좋은 곧 숲 속에 기가 나를 감싸주는 곳,장태산자연휴양림,jangtae_mountain
 박정민 ,5,3주 전,걷기 좋아요,장태산자연휴양림,jangtae_mountain
 수다파파 ,5,3주 전,흔들 다리 생겨서 다녀왔습니다 봄에 가족끼리 산책하기에 좋은 장소입니다,장태산자연휴양림,jangtae_mountain
 황점섭 ,5,4주 전,메타세쿼이아 나무 그늘이 행복을 드리워줍니다 산책하기 가장 좋은 휴양림,장태산자연휴양림,jangtae_mountain
 이찬구 ,4,4주 전,기 좋고 산책하기 좋아요 사람도 평일인데 많아요,장태산자연휴양림,jangtae_mountain
 이명숙 ,1,1달 전,너무 좋아요,장태산자연휴양림,jangtae_mountain
 Yong Nam Choi ,5,1달 전,오르막 내리막이 적절히 조합된 산책길이 좋습니다,장태산자연휴양림,jangtae_mountain
 이영규 ,5,1달 전,안 오면 후해 할 곳,장태산자연휴양림,jangtae_mountain
 Taejoong Kim ,5,1달 전,스카이타워가 재밌어요,장태산자연휴양림,jangtae_mountain
 Woon Kang Paek ,5,1달 전,사람 너무 많네,장태산자연휴양림,jangtae_mountain
 조병익 ,4,1달 전,메타세콰이 아이숲이 너무 아름답고요 가볍게 산책할 수도 있고요 숙박시설도 완벽하고요 참 좋아요,장태산자연휴양림,jangtae_mountain
 벨베르 ,4,1달 전,대전이 참 살기 좋은 이유 이런 곳이 입장 주차 무료에 사람들이 편하게 이용할 수 있다 또한 어렵지 않게 이용 가능한 설비와 화장실 등 배려가 충분히 반영된 나름의 명소이다,장태산자연휴양림,jangtae_mountain
 김현수 ,5,1달 전,잘 곳도 있고 자연과 어울려 산책하기 좋고 기 좋고 출렁다리도 좋고 커다란 나무들이 너무 좋습니다,장태산자연휴양림,jangtae_mountain
 Rainy Kim ,5,1달 전,메타세쿼이아 숲이나 등산코스 아이들 놀이시설 체험행사 모두 좋았습니다,장태산자연휴양림,jangtae_mountain
 Sung-Hyun Jeon ,4,1달 전,좋은,장태산자연휴양림,jangtae_mountain
 확률게임 ,5,1달 전,가족끼리 힐링하기 좋은 대전의 유명산입니다 특히 어린아이나 부모님 모시고 함께 할 수 있는 좋은 산입니다,장태산자연휴양림,jangtae_mountain
 구천기 ,5,1달 전,장태산 꼭 추천합니다 출렁다리 스카이워크 최고입니다,장태산자연휴양림,jangtae_mountain
 C. V ,5,1달 전,이것은 매우 여유로운 하이킹이었습니다 산은 그다지 높지 않으며 하이킹하는데 오래 걸리지 않지만 올라가는 길에 예쁜 장소 주변에 휴식을 취할 수 있는 좋은지 간식을 먹고 가족 및 친구와 함께 피크닉을 할 수 있는 몇 가지 시설이 있습니다,장태산자연휴양림,jangtae_mountain
 최성돈 ,5,1달 전,왜 산림휴양소인지 알게 하는 곳,장태산자연휴양림,jangtae_mountain
 김미성 ,5,1달 전,진정 힐링 장소입니다,장태산자연휴양림,jangtae_mountain
 한인규 ,5,1달 전,좋아,장태산자연휴양림,jangtae_mountain
 계란하나 ,5,1달 전,엄마 아빠랑 바람쐘 겸 방 소형 주차장에 주차하니까 딱 돌기 좋음,장태산자연휴양림,jangtae_mountain
