name,ratings,date,comment,search,keyword
 yoo mi-young ,3,4일 전,좋습니다,대전시민천문대,observatory
 Seok-hwan Lee ,5,1달 전,달 표면이 끝내줘요,대전시민천문대,observatory
 Sung Won Sohn ,5,1달 전,체험형 천대로서 다양한 서비스를 하고 있음,대전시민천문대,observatory
 검은고양이 ,3,2달 전,소소하게 괜찮음 비 오거나 예상되면 별 못 봄,대전시민천문대,observatory
 Jung il LEE ,5,3달 전,끝내 주네요,대전시민천문대,observatory
 Chaeyoung Im ,5,6달 전,환상의 산책코스 어은 동 최고의 자산임,대전시민천문대,observatory
 megan Han ,3,6달 전,천대 강사님을 통한 별자리 및 설명을 통해 우리가 생각보다 쉽게 지나칠 수 있는 것들에 대해 알 수 있었으나 망경에 대한 리 설명 것들이 좀 더 추가되었으면 한 코로 나라 예약 필수임,대전시민천문대,observatory
 엑센트 ,5,6달 전,못 보던 별도 볼 수 있고 좋았습니다,대전시민천문대,observatory
 Younglan Seo ,3,6달 전,예약 필요 태양과 별을 볼 수 있어요,대전시민천문대,observatory
 Yongho Um ,5,9달 전,친절하고 설명도 잘해주십니다 야간 및 입장 방침에 따라 사진은 못 찍었습니다,대전시민천문대,observatory
 강주이 ,5,10달 전,코로나로 음악회 하기가 힘든 상태에서도 또 다른 방법을 선택하여 열심히 노력하시는 것을 보니 참 감사하다는 생각이 들었습니다 많은 시민들이 보시고 좋아하셨으면 좋겠습니다,대전시민천문대,observatory
 침뽕 ,5,1년 전,인턴 근무가 시에 끝나니까 오후 시전에 와서 관람해보겠습니다 기대됩니다,대전시민천문대,observatory
 미스케냐 ,5,1년 전,천관 측 무료 음악 연가 벼 운 등산을 할 수 있는 곳입니다,대전시민천문대,observatory
 Minsob Song ,5,1년 전,천관 측과 안 단 체의 음악 과학을 유할 수 있는 무료 간입니다 시간과 날씨만 맞는다면 돈 주고도 못 볼 천체를 무료로 볼 수 있답니다,대전시민천문대,observatory
 UJ M ,1,1년 전,무료 딱 그만큼 계단을 오르락내리락 오르막으로 주차장에서 걸어서 분,대전시민천문대,observatory
 illaw kim ,5,2년 전,시립 천대로 무료로 관람 가능합니다 맑은 날을 선택해서 가는 것 최우선입니다 단체 견학 시 전화로의 하시면 차량 이 동 서비스를 해주시기도 합니다 저희가 노인분들이 많다니까 직접 봉고 버스를 보내주시겠다고 해주셨는데 저희 쪽 차량이 충분해서 즉 법 이동했습니다 개인적으로도 여러 가봤는데 개인은 천대 건물 주차장에 주차가 되지 않고 약간 떨어진 천대 왼쪽 주차장에 차를 대고 걸어서 이동하여야 합니다 단체나 노약자는 주차장,대전시민천문대,observatory
 이호영 ,5,2년 전,여러 가지 별들을 볼 수 있어요,대전시민천문대,observatory
 Shagufta Alee ,5,2년 전,그것은 개 관찰이며 비용은 무료입니다 우리 애들도 즐거웠어 우리는 태양을 깨달았지만 날씨가 좋지 않아 선명하지 않아 더 많은 행성을 볼 수 없었습니다 엄지손가락,대전시민천문대,observatory
 JAEHYUN AHN ,3,2년 전,이름에 맞게 시민을 위한 천대라는 느낌을 준 다 무료로 관람할 수 있고 주망경뿐만 아니라 여러 만 경들로 행성과 달을 관측할 수도 있다 혜성 소행성이 지구와 가까워지는 등 여러 이슈가 생길 때마다 전성 시를 이룬다,대전시민천문대,observatory
 HYONAM KIM ,5,2년 전,천체투영기가 지난 월에로 새로 도입 설치되었습니다 천체투영실의 등받이 의자도 새로 설치되었습니다,대전시민천문대,observatory
 홍종상 ,5,3년 전,밤에 방하면 무료로 여러 가지 천체체험을 할 수 있습니다 하늘이 높고 맑은 밤에는 목성이나 토성도 비교적 뚜렷하게 관찰할 수 있습니다 물론 천체 망경으로 관찰해도 많이 작게 보입니다만 실 모습을 직접 눈으로 관찰할 수 있다는 점이 신기하게 느껴지네요 해설자님들의 친절한 해설도 좋습니다 아이들과 반해서 밤 시간을 보내기 좋네요 추천합니다,대전시민천문대,observatory
 Yong-Chan PARK ,5,5년 전,무료이며 밤에는 달이나 별을 낮에는 태양의 흑점이나 홍염을 관찰할 수 있어 요 투영관도 재미있습니다 대전시에서 운영하는 시설입니다,대전시민천문대,observatory
 김소연 ,5,5년 전,좋아요,대전시민천문대,observatory
 류창희 ,5,6년 전,굿 무료인데 대분을 알 수 있어요,대전시민천문대,observatory
 강적봉 ,5,8년 전,짱,대전시민천문대,observatory
 sake I ,3,9년 전,짜임에도 불구하고 상당히 유용한 시설,대전시민천문대,observatory
