name,ratings,date,comment,search,keyword
 유승헌 ,5,6시간 전,재밌음,오월드,oworld_zoo
 Dong Dong ,4,1일 전,기대를 하지 않고 가면 충분히 즐길만합니다,오월드,oworld_zoo
 오지은 ,5,1일 전,야간 개장을 시작하여 선선하게 둘러볼 수 있어 더 좋은 것 같다,오월드,oworld_zoo
 김동현 ,2,1일 전,놀이기구 운영을 너무 천천히 해요 기구 타려면 너무 오래 기다려야 해요,오월드,oworld_zoo
 Hyeok Sang Kwon ,5,1일 전,아주 좋아요 딸들이랑 재밌게 놀았어요,오월드,oworld_zoo
 이은정 ,5,1일 전,구성비 괜찮은 아이들이 좋아했던 곳,오월드,oworld_zoo
 블랙이 tv ,5,1일 전,통일에 사람이 많긴 한데 화려한 복고 댄스가 재밌고 서바이벌 총싸움을 체험할 수 있어요 그리고 주말에는 가족들과 이벤트를 하고 상품 받을 수 있어요,오월드,oworld_zoo
 정해영 ,5,2일 전,좋긴 한데 사람이 너무 많아서,오월드,oworld_zoo
 kwanghoi Ku ,4,2일 전,아이들의 놀이터 하지만 어른들의 새치기 주말은 피하시길,오월드,oworld_zoo
 욤욤 ,5,3일 전,알차게 즐길 수 있는 곳,오월드,oworld_zoo
 김종완 ,5,4일 전,아이와 같이 놀기에 좋아요,오월드,oworld_zoo
 박인오 ,5,4일 전,살 딸아이와 다녀왔습니다 사파리가 가장 인상에 남네요 딸 아이 키 가를 간신히 넘는지라 아쉽게도 어린이들이 이용하는 놀이기구는 모두 타 보진 못했습니다,오월드,oworld_zoo
 윤비모 ,5,4일 전,아이들이 넘좋이 해요,오월드,oworld_zoo
 이명주 ,5,4일 전,지난주 급다녀 왔습니다 비가 잠시 멈췄을 때 오후 시 저녁 시까지 사파리부터 놀이기구까지 즐겁게 놀다 왔어요,오월드,oworld_zoo
 Gyo Sung Hwang ,5,5일 전,대전의 꿈과 희망이 있는 곳 가족들이 가장 좋아하는 오월드 미국에 디즈니랜드가 있다면 한국에는 대전 오월드가 있어요 꼭 가보세요,오월드,oworld_zoo
 박쑥떡 ,4,6일 전,셋째 방 어른들끼리만 갔지만 간 만에 즐거운 추억을 만들고 왔다,오월드,oworld_zoo
 이덕 ,2,6일 전,동물들이 피부병 걸린 듯,오월드,oworld_zoo
 유병호 ,5,1주 전,초등생이 놀기 좋았음,오월드,oworld_zoo
 별은 ,5,1주 전,시 동물,오월드,oworld_zoo
 홍랑이냐옹 ,4,1주 전,마스크에 대해 철저히 하는 편이고 시폐 조장이라 시 분쯤이 보통 마지막 놀이기구 운영입니다 코로나 때에 호랑이 관 등 실내 이용관은 미운영 중 한자리만 계속 도는 동물이 있는 거 보니 약간 정신적으로 힘든 듯도 보입니다 지난과 같은 과오는 없도록 관리해주시길,오월드,oworld_zoo
 동우와동주 ,5,1주 전,비가 와서 아쉬웠지만 아주 재밌었어요 특히 사파리 체험이 아주 재밌었어요 꼭 한가 보세요,오월드,oworld_zoo
 Sunga Kwon ,4,1주 전,밤에 선선한 날씨에 벚꽃 구경 갔어요 꽃이 만개해서 산책이 즐거웠어요 밤이라 동물은 못 가봤지만 드라이브 코스로도 추천,오월드,oworld_zoo
 Magandang Waraynon ,5,1주 전,나는 장소를 사랑한다,오월드,oworld_zoo
 쿠마 ,5,1주 전,좋다,오월드,oworld_zoo
 Caffeine Kim ,5,1주 전,사람 적당할 때 가면 꿀 잼이에요,오월드,oworld_zoo
 Juyoung Kwon ,4,1주 전,사파리에 버드랜드 앵무새들 조금 무섭기 하지만 이리 가까이 볼 수 있어서 좋아요 동물들 사육 환경도 괜찮은 거 같고 사파리 투어 좀 더 길었으면 아쉬움이 있네요,오월드,oworld_zoo
 재웅고 ,4,2주 전,놀이기구보단 볼거리가 많음 애들이랑 가기 좋음,오월드,oworld_zoo
 comi cho ,5,2주 전,알찼다 꽃 피면 다시 올 것이다,오월드,oworld_zoo
 김창식 ,5,2주 전,재밌었어요,오월드,oworld_zoo
 놀go먹go ,5,2주 전,바이킹 굿,오월드,oworld_zoo
 쮸잉 ,5,2주 전,진짜 년 만에 갔는데 너무 이쁘고 잘 바뀌었어요 동물들이랑 도 교감도 쉽게 할 수 있는 거 같고 돈이 안 아까웠어요,오월드,oworld_zoo
 sojoong dog ,5,2주 전,동물들 볼거리도 많고 사파리 좋았어요 놀이기구 탈 때도 사람들이 별로 없어서 안 기다리고 탈 수 있어서 좋았어요,오월드,oworld_zoo
 잼민이 Tv ,5,2주 전,너무 재밌어요 다음에 또 올게요,오월드,oworld_zoo
 일혜일해!! ,5,2주 전,세상에 어린이날 대전시민 다 모임,오월드,oworld_zoo
 프로극찬러 ,5,2주 전,아이들에게 꿈과 희망을 주는 멋진 장소입니다 열 띄게 연해주신 뮤지컬팀에게도 박수를 보냅니다,오월드,oworld_zoo
 고은애 ,5,2주 전,입장만 해도 여러 동물을 볼 수 있음 호랑이 곰실 지어 퓨마 재규어 등등 멋있었고 좋음,오월드,oworld_zoo
 잘난서방 ,4,2주 전,굿,오월드,oworld_zoo
 김웅열 ,4,2주 전,평일이라 사람 없어서 놀이기구 많이 타서 좋은 월에 가니 꽃이 너무 이뻐서 한참 쳐다봤어요 하지만 사파리 회한 후 룸 라이드 미 운영은 불만입니다,오월드,oworld_zoo
 세상에 이런놈들 ,5,2주 전,동물도 많고 재미있는 놀이기구가 많다가 보시면 즐거운 추억이 될 것 같다,오월드,oworld_zoo
 이세민 ,5,2주 전,재미있다,오월드,oworld_zoo
 고준영 ,5,2주 전,사람이 너무 많아 주차전쟁이네요,오월드,oworld_zoo
 Haksoon Jang ,5,2주 전,좋아요,오월드,oworld_zoo
 kimcb0960 ,5,2주 전,좋은,오월드,oworld_zoo
 Donggeun Kim ,2,2주 전,대기 줄이 너무 길어요 사파리 후 룸 라이드 대기 시간만 시간 이상,오월드,oworld_zoo
 강종민 ,5,2주 전,못 가본 곳이 많지만 정말 미 있었어요,오월드,oworld_zoo
 김진영 ,4,3주 전,좋아요,오월드,oworld_zoo
 베니카 ,4,3주 전,자유이용권으로 다 동물 곤충 꽃 놀 이을 즐길 수 있는 전반적으로 만족한 곳이에요 초등학생들까지 즐기기 좋은 곳 같아요 또 갈 것 같아요,오월드,oworld_zoo
 어라연 ,4,3주 전,동물보다 식물들이 더 좋은 환경에서 자라는 것 같아요 아프고 컨디션 좋지 않아 보이는 동물들이 너무 많아서 마음이 아팠습니다 반면에 플랜트 랜드와 버드랜드는 관리가 잘 되고 있었는데 오히려 관람객이 드물어서 의아했네요 방의 향 있으시면 플랜트 랜드와 버드랜드를 더 추천드립니다,오월드,oworld_zoo
 Seok-hwan Lee ,5,3주 전,여기는 연간 회권과 함께라면 늘 추천하는 장소입니다,오월드,oworld_zoo
 김호철 ,5,3주 전,튤립축 다녀왔는데 꽃이 너무 이뻐요,오월드,oworld_zoo
 정선영 ,5,3주 전,좋아요,오월드,oworld_zoo
 배근효 ,5,3주 전,굿,오월드,oworld_zoo
 라이언tv ,5,3주 전,좋아요,오월드,oworld_zoo
 김경선 ,4,3주 전,아이들과 평일에 자주 가는 편입니다 주말엔 사람이 너무 많아 요 근데 오월드 갈 때마다 후 룸 라이드가 점검 중이라 매 못 타서 아쉽네요 연간 회권 끊어서 다니시면 좋아요,오월드,oworld_zoo
 백철우 ,5,3주 전,아이들과 즐거운 하루를 보낼 수 있는 곳 많은 동물들과 놀이기구 돈 아깝지 않았음,오월드,oworld_zoo
 Sun Sook An ,5,3주 전,아이들이 뛰어놀기 좋아요,오월드,oworld_zoo
 Ssong Ko ,4,4주 전,대전에서 이렇게 동물을 즐길 수 있다는 건 좋습니다 아쉬운 것은 사파리가 오래 기다릴 만큼은 아닙니다 일찍 가세 요일 찍 가질 않았다면 기다리지 말고 다른 걸 하세요 사파리는 그리 메리트가 없습니다,오월드,oworld_zoo
 쥐팝GPOP ,5,4주 전,대전의 나 잼을 그나마 이게 근근이 살려줌,오월드,oworld_zoo
 눌림목우상향 ,5,4주 전,세이카 아기랑 가기 넣무 좋아요,오월드,oworld_zoo
 신혜정 ,5,4주 전,튤립도 예쁘고 펭귄 설명 앵무새 설명이 아이들이 듣기에 참 좋더라고요 놀이기구는 분씩은 줄을 서야 해서 더운 날 고생하긴 했지만 즐거운 시간 보냈어요 롯데카드 연회 자유이용 권 할인되어서 잘 이용했네요 주말이면 아침 일찍 가는 게 나을 것 같아요 오후엔 매표소부터 줄이 넘길 더라고요,오월드,oworld_zoo
 최종식 ,3,1달 전,아이들 좋아하는 곳이 바로 이곳,오월드,oworld_zoo
 김무좀 ,5,1달 전,좋았다,오월드,oworld_zoo
 Mhan Soo Shin ,5,1달 전,대전에서 애들 데리고 가면 시간 보내기 좋습니다,오월드,oworld_zoo
 홍성완 ,5,1달 전,사파리 체험은 어려워요,오월드,oworld_zoo
 꼬꼬마윤휘TV ,5,1달 전,자주 가융,오월드,oworld_zoo
 Inho Choi ,5,1달 전,동물도 크고 미취학 아동까지는 좋아요,오월드,oworld_zoo
 문성현 ,4,1달 전,놀이동산 좋아요,오월드,oworld_zoo
 SEUNGGYU LEE ,4,1달 전,아기들 데리고 나들이 가기 좋아요,오월드,oworld_zoo
 김은미 ,5,1달 전,사랑이기 놀기에 딱 좋아요 너무 즐거워했어요,오월드,oworld_zoo
 진찌롱 ,5,1달 전,좋네요,오월드,oworld_zoo
 C.S Lee ,5,1달 전,집이 청주인데 아이들 동물 구경시켜주기에 거리도 멀지 않고 최적이네요,오월드,oworld_zoo
 기호성 ,5,1달 전,굿굿,오월드,oworld_zoo
 은평독수리 ,5,1달 전,볼거리도 많고 좋아요,오월드,oworld_zoo
