name,ratings,date,comment,search,keyword
 김명현 ,5,4시간 전,유등천변에서 오리배도 탈 수 있고 완전 기대 이상이었습니다,뿌리공원,ppuri_park
 길기록 ,3,1일 전,기도 좋고 우리 뿌리를 보고 좋은 곳입니다,뿌리공원,ppuri_park
 신진호 (몰라) ,5,1주 전,우리의 뿌리를 찾아 산책하기 좋고요 각성 시마다 그 유래를 알아보는 재미도 있어요 옛 조상들의 이야기를 새기며 효를 생각해보는 것도 좋을 것 같아요,뿌리공원,ppuri_park
 韓國青年 ,5,1주 전,굿,뿌리공원,ppuri_park
 새여울메아리 ,5,1주 전,나의 조상과가의 할 등 등부하기 좋아요,뿌리공원,ppuri_park
 전병기 ,4,2주 전,대전 유명으로 가족 단위 소풍 장소로 적격,뿌리공원,ppuri_park
 박현수 ,5,2주 전,트레킹 코스 야경엔 데이트로 추천합니다,뿌리공원,ppuri_park
 항아리 ,5,2주 전,굳,뿌리공원,ppuri_park
 박순금 ,4,2주 전,리뷰 작성인 줄 모르고 우리 집 얘긴 줄 알고 중 화장실 없다 했는데 뿌리에 중화 장실 있습니다,뿌리공원,ppuri_park
 시루아 ,5,2주 전,조명을 잘해놔서 밤에 산책하기 좋네요 주차장도 넓고요,뿌리공원,ppuri_park
 메린이김정은 ,5,2주 전,잘 꾸며놓았습니다,뿌리공원,ppuri_park
 지광수 ,5,2주 전,깨끗하고 조형물 설치가 잘되어 있습니다 관리만 잘 되었으면 합니다,뿌리공원,ppuri_park
 김지민 ,5,2주 전,야경 너무 예뻐 요물에 비친 빛이 정말 너무 예뻐 보이네요 산책하며 둘러보기 정말 좋아요,뿌리공원,ppuri_park
 김충구 ,4,3주 전,예전보다 많은 성씨들 추가되어 좋았고 매점도 비싸지 않아 아이 데리고 놀러 가기 좋았네요 하루빨리 코로나 종식되어 아이들 맘 편히 뛰어놀았으면 좋겠습니다,뿌리공원,ppuri_park
 장은정 ,5,3주 전,아주 좋아요,뿌리공원,ppuri_park
 Hyo ,5,3주 전,야외에서 이야기하기 좋아요 너무 예쁘게 잘 조성되어 있어요,뿌리공원,ppuri_park
 박광수 ,4,3주 전,산책하기 좋아요 특히 어린이와 함께하면 배울게 많아요,뿌리공원,ppuri_park
 yejin ryu ,5,3주 전,한적하니 아기랑 산책하기 좋았어요,뿌리공원,ppuri_park
 ᄋᄋ ,3,3주 전,그렇게 좋지도 나쁘지도 않다,뿌리공원,ppuri_park
 송인목 ,3,4주 전,뿌리를 찾아볼 수 있는 훌륭한 장소로 잘 관리되고 있으나 수목의 표찰이 있으면 금상첨화일 것임,뿌리공원,ppuri_park
 김정은 ,3,4주 전,그냥 괜찮음,뿌리공원,ppuri_park
 박인혁 ,5,4주 전,야경 죽임,뿌리공원,ppuri_park
 sukyung Kim ,5,1달 전,돗자리만 하나 가져가면 실컷 먹다 놀다 쉬다 올 수 있어요 오리 배 타고 천짜리 먹이 사서 거위 먹이주기 둘레길 산책 등 알차게 즐겼어요 매점층 분식집 떡볶이가 정말 맛있어요,뿌리공원,ppuri_park
 황금오로라 ,4,1달 전,야경이 너무 좋아요,뿌리공원,ppuri_park
 Eliot ,5,1달 전,간단한 산책과 다양한 씨족에 대한 정보가 많다 잘 꾸며진 곳이 다 대략 천천히 시간 정도 산책하기 더 좋은 곳이다 보정 국궁장에 어르신들 엄청 불친절하심 국궁이 궁금해서 간단히 여쭤봤는데 슬쩍 쳐다보고 대꾸도 없으셔서 빈정 엄청 상해 왓 을 좀 친절하시면 어디 큰일 나나,뿌리공원,ppuri_park
 그러려니 ,5,1달 전,가볍게 바람 쐬러 다녀오기 좋아요,뿌리공원,ppuri_park
 안상덕 ,5,1달 전,좋아요,뿌리공원,ppuri_park
 Mahfuz Alam ,5,1달 전,너무 붐볐는데 지금은 텅 비어,뿌리공원,ppuri_park
 호두의일상 ,5,1달 전,산책하기 좋아요,뿌리공원,ppuri_park
 Bongsoo Ha ,4,1달 전,좋아요 가족이랑 같이,뿌리공원,ppuri_park
 전영호 ,5,1달 전,산책하기 좋아요,뿌리공원,ppuri_park
 김파도 ,4,1달 전,볼거리는 그다지 부족하지만 나름의 이 부여가 가능한 곳이네요,뿌리공원,ppuri_park
 이용준 ,5,1달 전,그냥 바람 쐬기 좋음,뿌리공원,ppuri_park
 김기종 ,5,1달 전,경치 좋은 곳에서 좋은 시간 보내고 왔어요,뿌리공원,ppuri_park
 한석화 ,4,1달 전,좋아요,뿌리공원,ppuri_park
 윤상현 ,4,1달 전,밤에 산책하기 좋은 곳이다,뿌리공원,ppuri_park
 남오세규 ,5,1달 전,가족 나드리 최고,뿌리공원,ppuri_park
 임근석 ,5,1달 전,뿌리 참 좋았어요,뿌리공원,ppuri_park
 윤아영 ,4,1달 전,아기와 함께 오면 좋을 두 한 코스다 먼 월 말까지 잔디광장이 닫혀 있어 아쉽,뿌리공원,ppuri_park
 김옥영 ,5,1달 전,뿌리 정상에서 본 주변 모습,뿌리공원,ppuri_park
 김용택 ,5,1달 전,싫은 이유가 없는 것이 싫습니다,뿌리공원,ppuri_park
 팩튜브 ,4,1달 전,좋다,뿌리공원,ppuri_park
 빙그루루 ,3,1달 전,구름다리로 만 건널 수 있음,뿌리공원,ppuri_park
 김근수 ,4,1달 전,각 성씨의 유래와 사를 자세히 알 수 있고 볼거리와 쉴 수 있는 간도 있고 매점도 있어서 관광하기 좋습니다,뿌리공원,ppuri_park
 이종달 ,5,1달 전,이곳 뿌리는 우리나라 각 성씨들 유래 비가 조성된 곳으로 성씨 들 족보 박물관과 같이 있어서 한쯤 찾아보시면 매우 유익한 장소입니다 우리나라에서 여기 한 곳뿐입니다,뿌리공원,ppuri_park
 權赫重 ,5,1달 전,주말에 놀러 가기 좋아요 각 성씨를 알아볼 수 있게 잘 정돈되어 있음 주변 경치가 너무 맘에 들어 아주 만족합니다 아주 좋아요,뿌리공원,ppuri_park
 양남규 ,5,1달 전,야경이 끝내줘요,뿌리공원,ppuri_park
 류리오 ,5,1달 전,산책하기 좋은 곳,뿌리공원,ppuri_park
 이인숙인숙 ,5,1달 전,너무 조와 써요,뿌리공원,ppuri_park
 Robert Helvie ,3,1달 전,이 가는 한 좋습니다 앉아서 걷고 뛰어다니는 장소 한국말을 하지 못하거나 한국성의 유산에 관심이 없는 사람들은의 주요 테마를 잃어버릴 수 있습니다 여전히 꽃이 아름답고 강 위의 뒷다리가 멋진 전망을 합니다 간식과 음료도 있습니다 밤에는 종종 많은 조명으로 밝혀집니다 관심이 있다면 언덕 위에 양궁장이 있습니다,뿌리공원,ppuri_park
 김민수 ,5,2달 전,한가 보세요 좋습니다,뿌리공원,ppuri_park
 김민호 ,5,2달 전,산책 나들이로 너무 좋아요,뿌리공원,ppuri_park
 Iqram Hussain ,4,2달 전,호주산 댐,뿌리공원,ppuri_park
 따라쟁이아제 (캐치팡!!!) ,4,2달 전,예전에 유지였다고 합니다 조용하게 조상 뿌리도 한 찾고 마음의 여유를 가져갑니다,뿌리공원,ppuri_park
 송원형 ,5,2달 전,좋다,뿌리공원,ppuri_park
 엄태열 ,5,2달 전,나의 뿌리도 알고 산책도 하고 휠링 할 수 있는 곳,뿌리공원,ppuri_park
 김보성 ,5,2달 전,오리 배를 우리 아들이 너무 좋아했어요 굿굿굿,뿌리공원,ppuri_park
 99마루 ,5,2달 전,굳,뿌리공원,ppuri_park
 Мальвина Орозбаева ,4,2달 전,너무 아름다워요 오리배도 탈 수 있어 너무 좋아요,뿌리공원,ppuri_park
 노ᄒ ,5,2달 전,요즘 사람 많아요,뿌리공원,ppuri_park
 유병철 ,4,2달 전,소중한 장소임 코로나로 인해 족보 괄람 못함,뿌리공원,ppuri_park
 최대로 ,4,2달 전,무료한 적하고 좋아 요구성도 잘 되어 있어요,뿌리공원,ppuri_park
 김대영 ,4,2달 전,산책하기 좋은,뿌리공원,ppuri_park
 Kim Galbi286 ,5,2달 전,어린 손주들을 대리고 조상과 시조에 대하여 부시 키고 좋은 경치와 기훌룡한 족보 박물관 등이나의 뿌리에 대하여 다시 생각하게 하는 좋은 시간이었고 힐링 장소로도 나무랄 데 없는 물가 캠핑장 전망대 드넓은 잔디밭 휴식을 취할 수 있는 많은 테이블 덱 등 온 가족이 찾을 수 있는 좋은 곳입니다,뿌리공원,ppuri_park
 돌고래 ,5,2달 전,자주 다닙니다 좋아요,뿌리공원,ppuri_park
 전효정 ,5,2달 전,산책하기 좋아요,뿌리공원,ppuri_park
 김송연 ,4,2달 전,좋아요,뿌리공원,ppuri_park
 이정수 ,5,2달 전,아이들과 어르신 망하기 너무 좋습니다,뿌리공원,ppuri_park
 박진주 ,5,2달 전,가까운 지인들이랑 바람 쐬러 가서 한 바퀴 걸으면서 대화하는데 좋아요,뿌리공원,ppuri_park
 김쫑 ,5,3달 전,시한기 깨끗한 물 아이들도 맘껏 뛰어놀 수 있는 간호화도 알아볼 수 있는 곳 모두가 가볼 만한 장소입니다,뿌리공원,ppuri_park
 노진성 ,5,3달 전,주말에 놀러 가기 좋아요 먹을거리도 있고 엄청 쌉니다,뿌리공원,ppuri_park
 You Jin Park ,5,3달 전,입장 무료한 바퀴 다 돌아보고 나서 아이들 있으면 오리 배 선착장 쪽 가서 오리 찾아보세요 꽤 크고 희고 예쁜 오리들 있어요,뿌리공원,ppuri_park
 최정규 ,4,3달 전,좋아요,뿌리공원,ppuri_park
 이영귀 ,5,3달 전,아주 좋아요,뿌리공원,ppuri_park
 전용재 ,5,3달 전,겁나 좋아요 내 뿌리 한 더 생각하게 돼 네오,뿌리공원,ppuri_park
 김종환 ,4,3달 전,위치 대전 광시 중구 뿌리로 표면적 이용 안내 뿌리 연중무휴 월월월 월 박물관 월월월월 휴관 매주 월요일 설날 추석 연휴 조성 유래 뿌리는 모든 사람에게 자신의 뿌리를 알게 하여 경로효친 사상을 함양시키고 한겨레의 자손임을 일깨우기 위하여 세계 최초로 성씨를 상징하는 조형물을 세운 충효의 산교육장이다,뿌리공원,ppuri_park
 나알쩡나알쩡 ,5,3달 전,넓은 잔디밭,뿌리공원,ppuri_park
 hayu_amae ,5,3달 전,내 뿌리도 찾아보고 야경도 이쁜 포토 스폿,뿌리공원,ppuri_park
 늅늅이 ,5,3달 전,아주 좋소 오리 배 가격을 줄여주 새요,뿌리공원,ppuri_park
 이옥진 ,5,3달 전,아이들이 뛰어놀 수 있는 잔디밭과 여러 곳에 벤치가 있어 휴식하기 좋은 곳이며 여러 가들의 조형물들을 볼 수 있어 좋아요,뿌리공원,ppuri_park
 Sanghoon Han ,5,3달 전,가족들과 가기 좋은 곳입니다,뿌리공원,ppuri_park
 서유정 ,5,3달 전,야경 너무 좋아요,뿌리공원,ppuri_park
 김선충 ,5,3달 전,해가 넘어가는 저녁 시간에 조명을 아름답게 장식해 놓아서 산책하기에 좋습니다,뿌리공원,ppuri_park
 진찐이 ,5,3달 전,여기는 정말 좋았습니다 밤중에 갔는데 출렁다리 있는데 예뻤고 자신의 족보에 대해서도 알 수 있었네요 찾으러 다니느냐고 힘들었지만 뭔가에 대해서 배운 것 같아서 기분도 좋았고 새로웠습니다,뿌리공원,ppuri_park
 뽀칸 ,3,3달 전,좋음,뿌리공원,ppuri_park
 naturalism ,4,3달 전,잊고 있던 자신의 뿌리를 찾을 수 있어서 좋네요 수많은 성씨들의 내력을 알 수 있어 유익합니다,뿌리공원,ppuri_park
 전현철 ,5,3달 전,너무 감동적이었어요 한국에 성씨가 이렇게 많은지 처음 알았어요,뿌리공원,ppuri_park
 안현정 ,5,3달 전,걷기 좋아요,뿌리공원,ppuri_park
 곽근헌 ,2,4달 전,가격 조금 높음,뿌리공원,ppuri_park
 손종필 ,5,4달 전,아주 훌륭하게 잘 만들어 놓았네요,뿌리공원,ppuri_park
 Judy “Gongjudy” Kim ,5,4달 전,걸어 다니거나 피크닉을 가기에 좋은 곳,뿌리공원,ppuri_park
 go ko ,5,4달 전,아름다운 야경 침 흘리는 동상까지,뿌리공원,ppuri_park
 김인갑 ,4,4달 전,대전 중구 효과의 전당 우리 족보화의 산교육장 뿌리화의 백미를 체험할 수 있는 곳,뿌리공원,ppuri_park
 신영조 ,5,4달 전,언니 좋아요 싫은 게 없어요,뿌리공원,ppuri_park
 김딸봉 ,5,4달 전,좋아요,뿌리공원,ppuri_park
 Tom Lee ,3,4달 전,평범한 아이들 나들이하기 좋음,뿌리공원,ppuri_park
 장대양봉 ,2,4달 전,산책하기에 딱 좋은입니다,뿌리공원,ppuri_park
 강복지의 개인주의 ,4,4달 전,뿌리부터 불이 붙어 뿌리 그 뿌리 깊숙이 뿌리까지 뿌리,뿌리공원,ppuri_park
 서지원 ,4,4달 전,전국에 유일한 각성 씨의 유래별로 테마를 만든 대전시 중구 산성동의 명소,뿌리공원,ppuri_park
 Young Jun Lee ,5,4달 전,좋아요,뿌리공원,ppuri_park
 bum il park ,4,4달 전,오랜만에 나들이 다녀옴,뿌리공원,ppuri_park
 검은고양이 ,3,4달 전,은근히 경치 좋음,뿌리공원,ppuri_park
 미사코 ,5,4달 전,족욕 장관 박물관이 배치돼 있으며 시설도 좋고 풍경도 야경도 좋다,뿌리공원,ppuri_park
 K. S. Lee ,4,4달 전,종중일 하시는 아버지께서 이런 곳이 있었냐며 참 좋아하셨음,뿌리공원,ppuri_park
 henry richard ,5,4달 전,아주 좋음 주차 무료,뿌리공원,ppuri_park
 정재덕 ,5,4달 전,볼거리도 많고 가족끼리 놀러 가기 좋습니다,뿌리공원,ppuri_park
 dagamsa ,5,4달 전,가족들이 많이 오셔요,뿌리공원,ppuri_park
 니나노 ,5,4달 전,밤에 화려한 조명이 나를 감싸는 경험을 할 수 있다 데이트 코스로 추천,뿌리공원,ppuri_park
 스페이스 ,3,5달 전,없는 성씨가 많네요,뿌리공원,ppuri_park
 李文益 ,5,5달 전,성씨 조형물 족보 박물관 형태,뿌리공원,ppuri_park
 이강권 ,5,5달 전,기 좋고 쾌적하고 너무 좋아요,뿌리공원,ppuri_park
 낭만앵글러호야 !! ,5,5달 전,아이들과 가족과 연인과 산책하기 최고입니다 피크닉 장소도 잘 되어 있어요,뿌리공원,ppuri_park
 장현봉 ,5,5달 전,좋은 곳이네요,뿌리공원,ppuri_park
 이인재 ,5,5달 전,야경이 최고 즐거운 저녁 멋진 야경,뿌리공원,ppuri_park
 전동식 ,4,5달 전,성씨의 과거 생성기 등을 표기하여 의미가 있었음,뿌리공원,ppuri_park
 최춘길 ,5,5달 전,우리나라의 성씨들을 볼 수 있었고 궁 금해던 씨족에 대해서도 알 수가 있어서 좋았던 거 같아요,뿌리공원,ppuri_park
 Ivy Yang ,5,5달 전,내가 방한 가장 아름답고 고요한 장소 중 하나,뿌리공원,ppuri_park
 김의준 ,5,5달 전,대전에서 유일하게 족보 박물 괸 이 있어서 아이들 교육에 아주 좋은 곳이며 중구 안영동에 위치하고 있습니다,뿌리공원,ppuri_park
 곡물 ,5,5달 전,한 바퀴 돌기는 좋네요 딱히 구경거리 기대하고 갈 만한 곳은 아닌 듯 가려면 밤에 조명 켜질 때아니면 날 화창할 때 가세요,뿌리공원,ppuri_park
 JD J ,5,5달 전,야경도 예쁘고 낮에도 좋아요,뿌리공원,ppuri_park
 강순희 ,4,5달 전,훌륭해요,뿌리공원,ppuri_park
 이정미 ,4,5달 전,대전에 이런 곳은 강추입니다 어르신들 모시고 나들이 가는 것도 좋고 아이들 데리고 가도 신나는 장소입니다 강물을 보면 연인과 데이트하기에도 좋아요,뿌리공원,ppuri_park
 이도원 ,5,5달 전,생각보다 크고 잘 되어 있어서 놀랐습니다,뿌리공원,ppuri_park
 정운영 ,5,5달 전,늘 배우는 곳이죠,뿌리공원,ppuri_park
 Peter Shin ,5,5달 전,가족들과 나들이 가기 좋은 장소입니다,뿌리공원,ppuri_park
 최재호 ,5,5달 전,전생을 방한 느낌 선조의 숨결이 피부로 와닿는 묘한 기분이 들었습니다 한쯤 댕겨가 심이 좋을 듯 본인의 조상을 기리고,뿌리공원,ppuri_park
 롱다리 (대전) ,5,5달 전,동계 하계 입장 퇴장이 다르니 참고하시기 바랍니다 동계에는 오후 시만 넘어도 쌀쌀하니 최대한 따습게 입고 댕기시고 데이트 코스 아주 좋습니다 포켓몬 고 게임하시는 분들도 보이고요,뿌리공원,ppuri_park
 pyoung gu kim ,5,5달 전,저녁 야경이 멋져요,뿌리공원,ppuri_park
 남자임헌기 ,5,5달 전,나의 성씨에 자신감을 갖게 되어 뿌듯하다,뿌리공원,ppuri_park
 고백수 ,5,5달 전,산책,뿌리공원,ppuri_park
 김경진 ,4,5달 전,아이들이 좋아하는 장소,뿌리공원,ppuri_park
 윤승현 ,5,6달 전,뿌리의 뭔가 하고 가보았는데 되게 좋았습니다 각성 씨 별로 잘해놓으셨고 오후 늦게 갔더니 조명이 들어왔는데 매우 예쁘게 조명이 들어왔습니다 저 위에 달 모형까지도 운동이나 산책하기도 좋은 듯합니다가 갔을 때는 주차 입 장료 전부 무료라서 더 좋았던 듯싶네요,뿌리공원,ppuri_park
 장윤주 ,5,6달 전,오리 배 타고 거위 밥 주는 거 재 있어요,뿌리공원,ppuri_park
 이영 ,5,6달 전,야경이 너무 이뻐 요물도 있고 자전거 타고 가기도 좋고,뿌리공원,ppuri_park
 강인순 ,4,6달 전,본인의 가과 뿌리를 찾아볼 수 있고 주차장도 넓으며 군데군데 쉴 수 있는 간이 많아서 산책하며 즐기기에 괜찮은 것 같다,뿌리공원,ppuri_park
 허철주 ,5,6달 전,양천허 씨에 유래도 보고 생각할 수 있는 환경이 참 좋았어요,뿌리공원,ppuri_park
 이순철 ,5,6달 전,전주 이씨만 없나,뿌리공원,ppuri_park
 김경태 ,5,6달 전,너무 좋아요,뿌리공원,ppuri_park
 김해성 ,5,6달 전,국내 유일의 뿌리를 찾을 수 있는 곳,뿌리공원,ppuri_park
 하하하 ,5,6달 전,지금은 좀 쌀쌀하지만 야경 굿 아기랑 산책하기 젛아요,뿌리공원,ppuri_park
 정재필 ,5,6달 전,주차 간도 넓고 한적한 좋습니다 킥보드인 라인 등 반입 금지,뿌리공원,ppuri_park
 이승훈 ,1,6달 전,오월드 방향 뿌리 주차장 개판입니다 덤프트럭 캠핑카 등 큰 차들이 년 내내 주차되고 운전연습도 하는 차도 있고 완전 개판 오 분전,뿌리공원,ppuri_park
 김희련 ,5,6달 전,자전거 타고 운동 다니기 좋아요,뿌리공원,ppuri_park
 도미노 ,5,6달 전,부모님 모시고 가서 좋아하셨어요,뿌리공원,ppuri_park
 라온 ,5,6달 전,산책하기 편함,뿌리공원,ppuri_park
 강병수 ,4,6달 전,넓은 잔디밭에 가족들과 함께 나들이하기 좋은 곳이에요,뿌리공원,ppuri_park
 야도 ,5,6달 전,오늘 가을 날씨가 허한지 뿌리 가족들이 단풍 구경하러 많이들 오셨네요 낚시하시는 분들 눈 찌푸려지게 합니다,뿌리공원,ppuri_park
 김영숙 ,4,6달 전,조상님 뿌리 찾는 교육 현장이었습니다 호가 흩어져 있어 찾기가 힘들어 어 좀 아쉬웠습니다,뿌리공원,ppuri_park
 윤상훈 ,4,6달 전,산책하기 좋아요,뿌리공원,ppuri_park
 박진용 ,4,6달 전,가족과 함께 가벼운 산책과 효와 을 경험할 수 있는 곳이에요,뿌리공원,ppuri_park
 서기훈 ,4,6달 전,깔끔하고 좋은,뿌리공원,ppuri_park
 김형룡 ,5,6달 전,대전에서 유일하게 집안이 어떤 사를 많이 가지고 있는지 가르쳐주는,뿌리공원,ppuri_park
 shine son ,3,6달 전,한은과 볼 만한 곳,뿌리공원,ppuri_park
 최용진 ,3,6달 전,한쯤 가볼만함,뿌리공원,ppuri_park
 Semyalo Dennis ,5,6달 전,놀라운 경험 가을 피크 색상 그만한 가치가 있었습니다,뿌리공원,ppuri_park
 mi young park ,5,6달 전,좋아요,뿌리공원,ppuri_park
 hyeoncheol chae ,5,6달 전,언니 좋지요,뿌리공원,ppuri_park
 lim dubin ,5,6달 전,이루지 네이션이 좋아요,뿌리공원,ppuri_park
 권혁수 ,5,6달 전,아주 좋아요,뿌리공원,ppuri_park
 탱크 ,4,6달 전,뿌리의 무엇인가 우리의 뿌리는 참 잘해놓았네요,뿌리공원,ppuri_park
 이명순 ,5,7달 전,파란 하늘 아래 아름다운 나무들 아래는 맑고 깨끗한 물이 세월가 듯 흘러만 가고 산소 같은 기를 마셔보니 너무 행복했네요,뿌리공원,ppuri_park
 이윤찬 ,5,7달 전,너무 좋아요,뿌리공원,ppuri_park
 shai love ,5,7달 전,저의 최 새 장소에 요 너무 좋아요,뿌리공원,ppuri_park
 김철희 ,5,7달 전,아주 좋아요 잔디 예술입니다,뿌리공원,ppuri_park
 Monkey ,5,7달 전,아주 좋음,뿌리공원,ppuri_park
 신형주 ,5,7달 전,우리 뿌리를 찾아서 여행,뿌리공원,ppuri_park
 나이스가이 (Lim Kwang Man) ,5,7달 전,내 이름의 성을 찾아서,뿌리공원,ppuri_park
 박관현 ,5,7달 전,아이들과 뿌리를 찾는 의미와 가을의 정취를 느낄 수 있어 좋았습니다,뿌리공원,ppuri_park
 leejoon sky ,5,7달 전,조상을 생각하는 경치 좋은 명소,뿌리공원,ppuri_park
 조아라 ,5,7달 전,넓은 잔디밭에서 애들과 놀기 좋아요,뿌리공원,ppuri_park
