name,ratings,date,comment,search,keyword
 안희원 ,5,1일 전,아이가 너무 좋아했습니다 일반 전시와 특별 전시 관람 시간 상이 하게 하면 더 좋을 거 같아요,국립중앙과학관,science_museum
 문성범 ,3,3일 전,정부에서 만들었는데 세금 낭비인 거 같아요,국립중앙과학관,science_museum
 김형준 ,5,6일 전,아이들이랑 다니기에 너무 좋아요,국립중앙과학관,science_museum
 Kabhi Park ,5,1주 전,아이와 놀기 좋아요가 면 어른이 조금 질려요,국립중앙과학관,science_museum
 최아인 ,5,1주 전,여러 체험이 있어서 상식도 알고 체험도 할 수 있어서 너무 좋아요,국립중앙과학관,science_museum
 김고은 ,5,2주 전,살 아들이 엄청 좋아했어요,국립중앙과학관,science_museum
 Jinhwan Wi ,5,2주 전,아이들과 가면 좋아 요 입장료도 일부 무료,국립중앙과학관,science_museum
 명근김 ,5,3주 전,저학년 초등학생까지는 구경할 것이 있습니다,국립중앙과학관,science_museum
 Sangwan KOO ,5,3주 전,이런 시설을 무료로 이용할 수 있어서 놀라웠습니다 국립이라 규모도 그렇고 전시물들이 모두 알차고 수준이 높아 보였습니다,국립중앙과학관,science_museum
 류준상 ,5,4주 전,코로나로 인해서 소독 시간이 있어 요 시간 잘 확인하고 가야 돼요 나름 즐거운 시간을 딸아이와 보냈습니다,국립중앙과학관,science_museum
 김다마네기 (100G) ,5,1달 전,재미있고 유익해요,국립중앙과학관,science_museum
 Chungwoon Lim ,5,1달 전,자주 가도 볼 것 많고 알차게 시간 보내며 부 활 수 있는 곳이에요,국립중앙과학관,science_museum
 kay oh ,5,1달 전,아이들 천국,국립중앙과학관,science_museum
 강재현 ,5,1달 전,인터넷으로 예약하고 가시는 게 좋습니다 소독 시간과 입장 시간도 알아보고 가시면 좋아요,국립중앙과학관,science_museum
 양주형 ,5,1달 전,아이들이 좋아할 테마가 많이 있어요 코로나 때에 일부 한중인 것들과 사중인 것들이 다 같이 오픈되면 더더욱 재밌고도 유익한 곳이 될 것 같아요,국립중앙과학관,science_museum
 잡식아재_ ,5,1달 전,나들이하기 좋은 곳,국립중앙과학관,science_museum
 VONG-HYUN Kim ,4,1달 전,아이들 데리고 가긴 좋아요,국립중앙과학관,science_museum
 Hüseyin Tuğcan DİNÇ ,5,1달 전,놀랄만한,국립중앙과학관,science_museum
 한치환 ,5,1달 전,좋아요,국립중앙과학관,science_museum
 송어형 ,5,1달 전,비가 와도 좋았어요,국립중앙과학관,science_museum
 Jutamas Luangtawatkul ,5,1달 전,아주 좋아,국립중앙과학관,science_museum
 송준호 ,4,1달 전,보현이랑 같이 체험활동에 가서 작품들을 통해 알 수 있었다,국립중앙과학관,science_museum
 joshua park ,5,1달 전,볼거리가 많아 요언 가도 즐길 거리가 많습니다,국립중앙과학관,science_museum
 su jin jung ,5,2달 전,아이들이 너무 좋아해요 아직 어려서 관찰은 힘들지만 경험은 최고네요,국립중앙과학관,science_museum
 윤병탁 ,5,2달 전,오오신 기해,국립중앙과학관,science_museum
 양나영 ,5,2달 전,중력의 방 너무 재밌고 자연사박물관이나 아이들이 간단히 체험할 수 있는 과학시설들이 있어 너무 좋아요,국립중앙과학관,science_museum
 dj kim ,5,2달 전,과학의 메카시 굿입니다,국립중앙과학관,science_museum
 김용태 ,5,2달 전,날씨 굿 배움과 창의 장소로 굿 베리 베리 굿이야,국립중앙과학관,science_museum
 기애림 ,5,2달 전,아이랑 같이 가기 좋은 곳이에요,국립중앙과학관,science_museum
