name,ratings,date,comment,search,keyword
 이형수 ,5,1일 전,맛있는 빵들이 너무 많네요 매장도 깔끔하고 시 명성 높은 성심당입니다,성심당DCC점,sungsimdang_bakery
 곽웅기 ,5,1일 전,자개 테이블에게 먹는 팥빙수의 맛,성심당DCC점,sungsimdang_bakery
 Producer dk ,5,2일 전,맛있다 근데 일요일 줄 너무 길어,성심당DCC점,sungsimdang_bakery
 Seok-hwan Lee ,5,2일 전,사람이 정말 많아요,성심당DCC점,sungsimdang_bakery
 정하나 ,5,2일 전,진짜 사람 많네요,성심당DCC점,sungsimdang_bakery
 규동 ,3,3일 전,본점 하고 맛이 다름,성심당DCC점,sungsimdang_bakery
 파리망고 ,4,3일 전,좋긴 하지만 사람들이 많다는 점,성심당DCC점,sungsimdang_bakery
 Siliwangi ,4,4일 전,사람이 너무 많아 이 빵도 가격대가 좀 있네요,성심당DCC점,sungsimdang_bakery
 조민호 ,4,6일 전,본점 대비 주차하기 좋고 덜 붐벼 좋아요,성심당DCC점,sungsimdang_bakery
 전경석 ,5,6일 전,카이스트에서 가깝고 빵 맛도 좋고 직분들도 친절하고 좋네요,성심당DCC점,sungsimdang_bakery
 HL PARK ,5,1주 전,빵이 맛있네요,성심당DCC점,sungsimdang_bakery
 오영태 ,4,1주 전,빵과 케이크를 구입할 수 있는 간이 나눠져 있어 필요에 따라 효율적으로 구입 가능합니다 반대로 둘 다 구입하려면 불편할 수도 바로 옆에 있음 포인트 적립 가능 층 섭 춰가 가능한 곳 있으며 매장 내 카페도 같이 있음,성심당DCC점,sungsimdang_bakery
 Paul Wone ,5,1주 전,대전 성심당 지점 중에서 다양한 빵이 많고 카페가 있고 케이크도 있는 큰 지점입니다 기본적으로 유명한 튀소 외에도 맛있는 빵이 많이 있습니다,성심당DCC점,sungsimdang_bakery
 김영식 ,5,1주 전,맛있네요,성심당DCC점,sungsimdang_bakery
 노ᄒ ,5,1주 전,여기도 이 사람이 몰리네요,성심당DCC점,sungsimdang_bakery
 김지연 ,5,1주 전,너무나 사랑하는 성심당 아무쪼록 창해주세 이 빵 맛나,성심당DCC점,sungsimdang_bakery
 이영애 ,3,1주 전,대전 광시 유성구 성심당 지인 심방 맛이랄까요 튀김 곰보빵이 커 요단 팥빵엔 단팥이 듬뿍 들어가요 야채빵 도 맛있어 요지 주민들이 즐겨 찾아 국내외 관광객도 한쯤은 찾게 되는 맛 집으로 선정되어 좋아요,성심당DCC점,sungsimdang_bakery
 daehyun woo ,4,1주 전,은행동 본점보다는 작아 요 주차나 교통은 한산해서 좋았어요,성심당DCC점,sungsimdang_bakery
 박선아 ,5,1주 전,찹쌀떡 찹쌀떡 식빵을 좋아해서 자주 가는 지점입니다 빵 맛도 좋고 직분들 친절하십니다 다만 한 가지 아쉬운 점은 계산대 앞쪽 빵 전시해두는 곳 높이가 낮은 편이라 아가들이 빵을 손으로 만지네요 물론 대부분 부모님들이 보시면 사가시지만 안 그런 경우도 있는 것 같아요 그 부분 빼고는 좋습니다,성심당DCC점,sungsimdang_bakery
 Jin. H Bae ,5,1주 전,맛있는 빵들,성심당DCC점,sungsimdang_bakery
 Oliver SIM ,5,1주 전,개인적으로 대전 성심당 지점 중에 일 괜찮다고 생각됨 직들도 친절하고 주차 간도 있고 백화점 내 성심당은 이러나저러나 손님들 많으니 불친절 함대 전 사내 지점은 사람이 너무 많아 대기시간 이 상당함,성심당DCC점,sungsimdang_bakery
 Jeonghwan Hwang ,5,2주 전,넘버 빵집 여기서 쌓은 포인트만 만점이 넘어가는 듯,성심당DCC점,sungsimdang_bakery
 옥이김 ,5,2주 전,오층에서 빵을 사고층 카페에서 커피와 함께 즐거운 시간 보냈어요,성심당DCC점,sungsimdang_bakery
 NurIsaac Park ,5,2주 전,너무 좋은데 사람이 너무 많아 요 오늘은 여명이 계산대 앞에 줄 서 있었음,성심당DCC점,sungsimdang_bakery
 심재운 ,5,2주 전,사람이 너무 많아 너무 오래 기다렸습니다 손님이 많아 좋긴 하데 덜 기다렸으면 좋겠습니다 그리고 곰보빵은 시간분 후에 구매가 가능하다는 안내가 있어 실망했습니다,성심당DCC점,sungsimdang_bakery
 노영주 ,4,2주 전,빵 종류가 정말 다양해요 대기시간 길어서 별 하나 빼고요,성심당DCC점,sungsimdang_bakery
 DK Anselmo ,5,2주 전,맨날 감,성심당DCC점,sungsimdang_bakery
 BooM ,5,2주 전,언니 최고,성심당DCC점,sungsimdang_bakery
 잘난서방 ,4,2주 전,굿,성심당DCC점,sungsimdang_bakery
 윤상호 ,5,2주 전,구존 맛,성심당DCC점,sungsimdang_bakery
 이경재 ,4,2주 전,본점 안 가도 될 만큼 맛은 똑같음 튀소가 유명세 막 타기 시작할 무렵엔 디저트 종류도 적었고 옛날 빵들 중에도 특이해서 인기가 많았지만 요즘은 워낙 먹거리가 넘치다 보니 기름지고 달달한 빵 그 이상도 이하도 아닌 약간 평범한 디저트로 느껴짐 그래도 이 집만의 독특함이 있기에 대전에 왔다면 가볼 만한 듯,성심당DCC점,sungsimdang_bakery
 이민욱 ,4,2주 전,성심당은 본점과 롯데백점이 더 좋았다고 봐,성심당DCC점,sungsimdang_bakery
 Hs jeong ,4,2주 전,빵들이 엄청 많아 요 맛있는 빵 종류별로 눈 돌아가요,성심당DCC점,sungsimdang_bakery
 리하쫄 ,5,3주 전,빵 다 맛있어요,성심당DCC점,sungsimdang_bakery
 John Kang ,5,3주 전,나는 항상 신선한 빵을 판매하기 때에 이 빵집을 매우 좋아합니다 튀긴 빵으로 유명합니다,성심당DCC점,sungsimdang_bakery
 김혜림 ,5,3주 전,맛있고 좋다 빵 못지않게 커피가 맛있다,성심당DCC점,sungsimdang_bakery
 김동민 ,5,3주 전,빵들이 전부 맛있어요,성심당DCC점,sungsimdang_bakery
 조재현 ,5,3주 전,짱,성심당DCC점,sungsimdang_bakery
 박정현 ,4,4주 전,사람 많으니,성심당DCC점,sungsimdang_bakery
 신민석 ,5,4주 전,빵이 아주 맛있음,성심당DCC점,sungsimdang_bakery
 YG Real ,5,4주 전,성심당은 진리임,성심당DCC점,sungsimdang_bakery
 이시연 ,3,1달 전,장소가 너무 협소합니다 사람은 늘 많네요,성심당DCC점,sungsimdang_bakery
 서경덕 ,5,1달 전,성심 당굿,성심당DCC점,sungsimdang_bakery
 Todd J. Radosevich ,4,1달 전,완벽한 베이킹 주방이 있는 이곳은 단순한 위성 상점이 아닙니 다 상품은 매장에서 신선하게 구워집니다 빵의 선택은 한 되어 있지만 모든 즐겨찾기를 사용할 수 있습니다,성심당DCC점,sungsimdang_bakery
 BR H ,5,1달 전,대전의 자랑 빵도 맛있고 빙수도 맛있어요,성심당DCC점,sungsimdang_bakery
 Myunghwan Bae ,5,1달 전,초코 시리즈가 유독 맛나요,성심당DCC점,sungsimdang_bakery
 lovely KY Lee ,5,1달 전,맛없는 빵이 없다,성심당DCC점,sungsimdang_bakery
 양주형 ,5,1달 전,성심당은 어느 지점이든 사랑입니다,성심당DCC점,sungsimdang_bakery
 그링자의캠핑클레스 & 문화캠핑 ,5,1달 전,대전 최고 대한민국 최고의 베이커리,성심당DCC점,sungsimdang_bakery
 Yongjin Kwon ,4,1달 전,빵이 맛있쮸,성심당DCC점,sungsimdang_bakery
 James Yeon ,5,1달 전,좋은 품질의 빵집,성심당DCC점,sungsimdang_bakery
 SuIn Park ,5,1달 전,운영이 매끄럽고 잘 관리하고 있는 느낌의 빵집 유명한 만큼 후회 없는 맛과 가격 빵들이 질리지 않고 계속 먹을 수 있을 것 같은 스타일이 다방의 종류도 다양하고 가격도 합리적인 편일 유명한 튀김 곰보빵도 튀긴 것치고는 느끼하지 않고 고소해서 자꾸 손이 간다 유명한 메뉴의 경우 세트 포장 판매가 잘 되어 있다,성심당DCC점,sungsimdang_bakery
 김숙경 ,5,1달 전,점 주차도 편하고 빵 종류도 많아서 좋아요 물론 본점보다는 작지만 편하게 고를 수 있는 장점이 있어요,성심당DCC점,sungsimdang_bakery
 김석환 ,3,1달 전,빵 진열이 너무 낮아 사람들이 옷으로 다 쓸고 다님,성심당DCC점,sungsimdang_bakery
 김선아 ,4,1달 전,대전에 빵 성지인가도 좋아요,성심당DCC점,sungsimdang_bakery
 kiho jin ,4,1달 전,사람이 엄청 많아 요 완전 빵 맛 집이든 커피는 별로,성심당DCC점,sungsimdang_bakery
 ETA KIM ,5,1달 전,맛있어요,성심당DCC점,sungsimdang_bakery
 오동통통 ,4,1달 전,빵 종류는 적지만 맛있는 빵은 다 있고 바로 옆에 케이크 부티크도 있어서 좋아요,성심당DCC점,sungsimdang_bakery
 SEHWAN HONG ,4,1달 전,곰보빵 성심당,성심당DCC점,sungsimdang_bakery
 최영범 ,5,1달 전,케이크 빵 맛있음,성심당DCC점,sungsimdang_bakery
 박임균 ,5,1달 전,퇴김 곰보빵과 부추 빵이 유명해서 먹었는데 맛있어요 최고야,성심당DCC점,sungsimdang_bakery
 Hyun SaGong ,5,1달 전,대전은 성심당이 쥬,성심당DCC점,sungsimdang_bakery
 띠요오오오오오오오오오옹 ,5,1달 전,대전의 빛빵 맛집,성심당DCC점,sungsimdang_bakery
 조병희 ,4,1달 전,본점에 비해 가짓수가 좀 적은 듯하지만 소 난 품들은 다만 날 수 있음 손님이 많으니 대략 줄 서는 건 기본,성심당DCC점,sungsimdang_bakery
 오원찬 ,5,1달 전,말이 필요 없는 성심당,성심당DCC점,sungsimdang_bakery
 Chris Silhwan Jin ,5,1달 전,성심당은 사랑입니다 맛도 훌륭 가격도 저렴 왜 이런 빵집이 우리 동네엔 없는 걸까요,성심당DCC점,sungsimdang_bakery
