name,ratings,date,comment,search,keyword
 조ok001114@naver.com ,5,7달 전,어려서부터 자주 다니던 곳을 지금은 아이와 함께 합니다,으능정이거리,uineungjeongi_street
 김대홍 ,4,2년 전,대전 관광코스 스카이 로드가 유명하다 길이 높이 인간 천장이 다 단순한 천장이 아니라 스크린 시설이라 대형 화면이라 생각하면 된단 으능정이 부거리가 있는 중앙로는 오랫동안 대전 핵심 상권이었다 하지만 연대 기관과 금융기관이 둔산 신도시로 대거 이동하면서 활기를 많이 잃는 다 이후 분위기를 바꾸기 위해 만든 게 바로 스카이로 두 년에 설치했다 밤에 보면 훨씬 화려한 풍경을 볼 수,으능정이거리,uineungjeongi_street
 박창연 ,3,2년 전,대전 근처에 있습니다,으능정이거리,uineungjeongi_street
 jong kuk Kim ,4,2년 전,둔산동으로 상권이 넘어간 뒤로 예전 명성으로의 상권 활성화를 위해 만든 은행동 으능정이 거리 서울 명동과도 같은 거리이다,으능정이거리,uineungjeongi_street
 john prester ,4,3년 전,은행동 거리는 구도심 중심부인데 성심당 본점이 일 유명하지만 세계 과자 한 점이나 다양한 식당이나 상점이 있습니다,으능정이거리,uineungjeongi_street
 대전진사 ,5,3년 전,야경이 아름다운 으능정이 거리의 성탄 트리 모습,으능정이거리,uineungjeongi_street
 ๑제희 ,4,3년 전,스카이로 더 예쁨,으능정이거리,uineungjeongi_street
 sol sol ,5,3년 전,대전 가면 저녁 무렵 으능정이 와 중앙시장 돌아보고 성심당에 들렀다가 대흥동 가서 저녁 먹고 귀가 대전 관광코스,으능정이거리,uineungjeongi_street
 이태윤 ,5,1일 전,아주 좋다,대전스카이로드,uineungjeongi_street
 시골사람 ,1,2일 전,옛날 같지 않음,대전스카이로드,uineungjeongi_street
 bum cheul Park ,4,3일 전,좋아요,대전스카이로드,uineungjeongi_street
 곽사장 ,4,3일 전,지방도시 중에선 나름 선방한 뷰,대전스카이로드,uineungjeongi_street
 송영택 ,3,5일 전,밤에 천장에서 쇼가,대전스카이로드,uineungjeongi_street
 이다정 ,4,1주 전,그냥 지나다니는 거지 머 특별한 건 읍 써 영,대전스카이로드,uineungjeongi_street
 Gyo Sung Hwang ,5,2주 전,은행동으능정거리 스카이 로드뷰가 볼만해요,대전스카이로드,uineungjeongi_street
 Andreia Kang ,5,4주 전,흥미로운 경험 이지에는 좋은 레스토랑 카페 및 상점이 많이 있습니다 다양한 좋은 포차과 아케이드 가라오케 등의 엔터테인먼트도 많이 있습니다,대전스카이로드,uineungjeongi_street
 유나경 ,4,1달 전,굿,대전스카이로드,uineungjeongi_street
 전웅 ,5,1달 전,좋다,대전스카이로드,uineungjeongi_street
 박의찬 ,4,1달 전,쾌적하고 좋았어,대전스카이로드,uineungjeongi_street
 윤두용 ,5,1달 전,코로나로 전에 비해 한 적합니다 조명이 아주 장관입니다,대전스카이로드,uineungjeongi_street
 Khamza Iskandarov ,5,1달 전,그냥 슈퍼,대전스카이로드,uineungjeongi_street
 June ka Nut ,5,1달 전,강렬한 아주 맛있습니다,대전스카이로드,uineungjeongi_street
 jang uil ,5,1달 전,사람 많아요,대전스카이로드,uineungjeongi_street
 브레이브하트 ,5,1달 전,대전은 행동의 상징 크리스마스이브 스카이 로드를 꽉 메운 인파와 프리허그 이벤트가 잊히지 않네요 다시 그런 날이 오길 기다립니다,대전스카이로드,uineungjeongi_street
 뚜거랄 ,5,1달 전,구시가라서 그런지 사람은 별로 없네요 길은 나름 잘 꾸며져 있습니도,대전스카이로드,uineungjeongi_street
 이한국 ,1,1달 전,그냥 그래 요 몇 년 전에 동영상 사진 필리핀 풍경 사진 여러 가지 삭 부분 검색 전혀 없네요 찾아 수 있다면 좋은 더 옛날에 추억 찾아 수전 혀 없네 요건의 상황대로,대전스카이로드,uineungjeongi_street
 카카로트 ,4,1달 전,비 오는 날 큰 우산,대전스카이로드,uineungjeongi_street
 구르마 ,3,2달 전,나름 추억 돋는,대전스카이로드,uineungjeongi_street
