name,ratings,date,comment,search,keyword
 김성주 ,5,9시간 전,가편하게 산책과 등산을 할 수 있는 곳,계룡산국립공원수통골지구,water_barrel
 서알콩 ,5,1일 전,커피 한잔하기 딱 좋은 거리에 용,계룡산국립공원수통골지구,water_barrel
 윤설희 ,5,2일 전,비 오고 난 수통골,계룡산국립공원수통골지구,water_barrel
 이상훈 ,4,2일 전,가족 나들이하기 정말 좋은 곳 국립이라 관리도 잘 돼있네요,계룡산국립공원수통골지구,water_barrel
 송순이공주 ,5,2일 전,동네라서 자주 가는데 갈 때마다 좋은 곳이에요 이에는 뱀이 나와서 좀 놀랐어요,계룡산국립공원수통골지구,water_barrel
 김하뇨 ,5,3일 전,운동을 싫어하는 나는 싫어하지만 아주 좋다 가족이 무척 애용한 다 식당 되게 많고 뷰는 최고 다 굳이 점수를 준다면 점 만점에 점,계룡산국립공원수통골지구,water_barrel
 이희경 ,5,4일 전,주말에 비가 와서 그런지 물도 맑고 피라미도 많고 시한 바람 아주 굿,계룡산국립공원수통골지구,water_barrel
 이석재 ,4,1주 전,산책도 좋고 등산도 좋은 곳이에요 가족 동반 산책 및 외식 추천,계룡산국립공원수통골지구,water_barrel
 Sang Sun Park ,5,1주 전,여유를 느낄 수 있습니다,계룡산국립공원수통골지구,water_barrel
 Jay Lee ,5,1주 전,싱그럽고 일방통행으로 돼 있어 편리해요,계룡산국립공원수통골지구,water_barrel
 JAED ,5,1주 전,가벼운 산책로,계룡산국립공원수통골지구,water_barrel
 임승환 ,5,1주 전,항상 좋아요,계룡산국립공원수통골지구,water_barrel
 jungam Choi ,4,1주 전,계룡산 줄기 수통골 너무 좋습니다,계룡산국립공원수통골지구,water_barrel
 Hae Young Choi ,5,1주 전,송사리 많아요,계룡산국립공원수통골지구,water_barrel
 Manseok Kwak ,5,1주 전,여러 코스가 있어서 체력에 맞게 등산 즐길 수 있어요,계룡산국립공원수통골지구,water_barrel
 롱다리 ,5,2주 전,트레킹 코스 초보 등산,계룡산국립공원수통골지구,water_barrel
 Ethan Kim ,5,2주 전,정말 잘 가꾸어 놓은 산입니다 가족과 산책하기 좋습니다,계룡산국립공원수통골지구,water_barrel
 세네카 뭐할까 ,5,2주 전,너어 오 너무 좋아요 추천 금수봉 무릎 보호대 필수,계룡산국립공원수통골지구,water_barrel
 은숑 ,5,2주 전,좋아요 나무 향이요,계룡산국립공원수통골지구,water_barrel
 김진옥 ,5,2주 전,식사하고 아이들과 산책하기 좋은 곳입니다,계룡산국립공원수통골지구,water_barrel
 Seok-sung Jeong ,5,2주 전,좋아요,계룡산국립공원수통골지구,water_barrel
 김태환 ,5,2주 전,산책로가 잘되어 있어 산책하기 좋습니다 등산로도 있는데 등산하신다면 신발과 배낭 그리고 물은 챙기시는 게 좋을 거 같습니다 등산로 지형은 간혹 가파른 곳이 있어 안전사고에 주의가 필요합니다,계룡산국립공원수통골지구,water_barrel
 다물 ,5,2주 전,수통골의 봄,계룡산국립공원수통골지구,water_barrel
 이필열 ,5,3주 전,살아기 유모차 태워서 다녀왔는데 가볍게 산책하기 좋은 코스 같았습니다 물이 많았으면 더 멋있었을 텐데,계룡산국립공원수통골지구,water_barrel
 송경호 ,4,3주 전,너무 좋아요,계룡산국립공원수통골지구,water_barrel
 김명자 ,5,3주 전,좋아요,계룡산국립공원수통골지구,water_barrel
 Jinsoo Lee ,5,4주 전,맛 집이 많은 곳입니다 욕 주차장은 많이 붐빕니다 산책로는 코로나 예방을 위해 단방향으로 일방통행으로만 운용 중입니다,계룡산국립공원수통골지구,water_barrel
 바이블셰프 ,5,1달 전,굳굳,계룡산국립공원수통골지구,water_barrel
 신형록 ,5,1달 전,기 좋고 산새가 좋고 등산하기 좋아요,계룡산국립공원수통골지구,water_barrel
 엄태순 ,4,1달 전,걷기에 힘들지 않은 코스와 카페 음식 맛집 등 힐링하기 좋은 곳입니다,계룡산국립공원수통골지구,water_barrel
 임병한 ,5,1달 전,아주 좋습니다,계룡산국립공원수통골지구,water_barrel
 yoseph koo ,5,1달 전,산책하기에 너무 좋아요,계룡산국립공원수통골지구,water_barrel
 백용찬 ,5,1달 전,맑은 물로 좋은 등산 경험이었음,계룡산국립공원수통골지구,water_barrel
 참사람 ,5,1달 전,도심과 가깝고 잠시 걷기에 좋아 요 입구에 식당과 카페가 많아서 여유를 즐기기 좋아요,계룡산국립공원수통골지구,water_barrel
 소크더라테스 ,5,1달 전,경치가 너무 좋아요,계룡산국립공원수통골지구,water_barrel
 박규정 ,5,1달 전,산책하기 너무 좋습니다,계룡산국립공원수통골지구,water_barrel
 임성규 ,5,1달 전,분위기 좋아요,계룡산국립공원수통골지구,water_barrel
 코람데오 ,5,1달 전,수통골 잘 보존되어 좋아요,계룡산국립공원수통골지구,water_barrel
 소승선 ,5,1달 전,다람쥐도 보고 요도 나 뱀도 보았어요,계룡산국립공원수통골지구,water_barrel
 임철순 ,5,1달 전,오늘 저녁에도 많은 시민들이 찾았네요,계룡산국립공원수통골지구,water_barrel
